#x cv
0.352214 0.352011
0.348665 0.348477
0.345155 0.344985
0.341712 0.341565
0.338337 0.338215
0.335026 0.334932
0.331778 0.331713
0.328583 0.328546
0.325443 0.325435
0.322366 0.322388
0.319346 0.319398
0.316379 0.316461
0.31345 0.313564
0.310558 0.310704
0.307719 0.307887
0.304924 0.305106
0.302165 0.302353
0.299423 0.299613
0.296698 0.296883
0.293992 0.294163
0.291293 0.29144
0.288589 0.288706
0.285874 0.285952
0.283124 0.283164
0.280329 0.280332
0.277478 0.277447
0.274568 0.274504
0.271577 0.271485
0.268491 0.268377
0.265302 0.265173
0.262004 0.261861
0.258588 0.258439
0.255045 0.254903
0.251368 0.251243
0.247567 0.247469
0.243607 0.24354
0.239479 0.239444
0.235185 0.235183
0.230725 0.230756
0.226103 0.22616
0.22132 0.221395
0.216379 0.216467
0.211275 0.211367
0.206011 0.2061
0.200587 0.20067
0.195008 0.195077
0.189277 0.189326
0.183397 0.18342
0.177367 0.177366
0.171189 0.171167
0.164872 0.164832
0.158412 0.158362
0.15182 0.151767
0.145101 0.145051
0.13826 0.138221
0.131314 0.131292
0.124271 0.124263
0.117153 0.117156
0.109965 0.109976
0.102724 0.102744
0.0954566 0.0954825
0.0881861 0.0882135
0.0809499 0.0809755
0.0737809 0.073798
0.0667236 0.0667308
0.0598086 0.0598178
0.0530984 0.0531148
0.0466463 0.0466748
0.0405324 0.040557
0.0348159 0.0348104
0.0295235 0.0294916
0.0246797 0.0246305
0.0202934 0.0202588
0.0164067 0.0163993
0.0130345 0.0130554
0.0101763 0.0101947
0.00778427 0.00778945
0.00580549 0.0058064
0.00420032 0.00419768
0.0029159 0.00291223
0.00190979 0.00190796
0.00114253 0.00114679
0.000602693 0.000603892
0.000257271 0.0002568
1.75428 1.75182
1.73482 1.73277
1.71554 1.71387
1.69646 1.69514
1.67756 1.67655
1.65885 1.65812
1.64031 1.63984
1.62194 1.6217
1.60381 1.60376
1.58582 1.58595
1.56797 1.56825
1.55026 1.55066
1.53268 1.5332
1.51524 1.51586
1.49794 1.49864
1.48077 1.48153
1.46373 1.46453
1.44684 1.44768
1.4301 1.43096
1.41351 1.41439
1.39707 1.39795
1.38078 1.38166
1.36463 1.3655
1.34864 1.34949
1.33279 1.33361
1.31708 1.31787
1.30151 1.30226
1.28608 1.28679
1.27079 1.27146
1.25564 1.25626
1.24061 1.24119
1.22573 1.22625
1.21099 1.21145
1.19639 1.1968
1.18192 1.18228
1.1676 1.1679
1.15341 1.15366
1.13936 1.13955
1.12545 1.12558
1.11167 1.11175
1.09802 1.09805
1.0845 1.08448
1.07112 1.07104
1.05786 1.05773
1.04473 1.04456
1.03173 1.03151
1.01885 1.0186
1.00611 1.00581
0.993487 0.993155
0.980993 0.980626
0.968623 0.968224
0.956378 0.95595
0.944257 0.943801
0.93226 0.931778
0.920384 0.919883
0.908629 0.908113
0.896995 0.896468
0.88548 0.884949
0.874085 0.873552
0.862809 0.862277
0.85165 0.851123
0.840609 0.840092
0.829686 0.829185
0.818878 0.8184
0.808187 0.807734
0.797611 0.797189
0.787143 0.786757
0.776786 0.77644
0.766548 0.766243
0.756428 0.756164
0.746424 0.746202
0.736534 0.736355
0.726758 0.726622
0.717098 0.717003
0.707548 0.707493
0.698104 0.69809
0.688764 0.688791
0.679526 0.679593
0.670389 0.670496
0.661355 0.6615
0.652429 0.652616
0.643603 0.643829
0.634872 0.635132
0.626235 0.626523
0.617693 0.618003
0.609246 0.609572
0.600894 0.601232
0.592616 0.592961
0.58444 0.584788
0.57637 0.576715
0.568404 0.568742
0.560539 0.560866
0.552774 0.553085
0.545113 0.545405
0.537563 0.537837
0.530094 0.530345
0.522708 0.522929
0.515403 0.515591
0.508181 0.508333
0.501042 0.501154
0.493983 0.49405
