Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
372 160 4 6 7 8 19825.5 1.70477
4279 160 4 6 7 8 6.60524 697.64
149 160 4 6 7 8 9.58553e+06 1.67025
6210 160 4 6 7 8 11603 2.67385
6426 160 4 6 7 8 10020.6 2.67956
1713 160 4 6 7 8 35702.8 1.67834
2751 160 4 6 7 8 45628.6 2.65218
6427 160 4 6 7 8 99887.1 1.69535
8698 160 4 6 7 8 31414.7 4.73735
6482 160 4 6 7 8 7.16374e+06 1.67326
5875 160 4 6 7 8 366153 1.69338
2410 160 4 6 7 8 1.79565e+06 1.68539
3375 160 4 6 7 8 927034 1.67073
8685 160 4 6 7 8 154144 1.68414
210 160 4 6 7 8 5762.59 8.48169
4370 160 4 6 7 8 8.40051e+06 1.67693
1588 160 4 6 7 8 101588 2.48973
2024 160 4 6 7 8 1.44224e+06 1.68925
3411 160 4 6 7 8 0.923646 614.996
3030 160 4 6 7 8 3.54838e+06 2.5528
669 160 4 6 7 8 152876 77.2891
6686 160 4 6 7 8 373211 1.85462
4545 160 4 6 7 8 769108 1.69268
2859 160 4 6 7 8 164568 1.68609
8604 160 4 6 7 8 69922.7 1.74274
8748 160 4 6 7 8 105678 2.50076
1856 160 4 6 7 8 9.37366e+06 2.4907
1248 160 4 6 7 8 1.78723e+06 1.71895
9910 160 4 6 7 8 1.90285e+06 2.49135
3827 160 4 6 7 8 182233 2.66092
4894 160 4 6 7 8 618722 1.69027
1317 160 4 6 7 8 523441 1.66172
7372 160 4 6 7 8 38142.5 1.69082
4293 160 4 6 7 8 1.17455e+06 1.67617
1267 160 4 6 7 8 66468 1.78319
9412 160 4 6 7 8 52388.4 2.49374
4693 160 4 6 7 8 76625.2 2.55521
3628 160 4 6 7 8 1.85037e+06 1.66492
646 160 4 6 7 8 781.551 801.018
273 160 4 6 7 8 3.33105e+06 1.72372
4359 160 4 6 7 8 247288 1.74777
7552 160 4 6 7 8 5922.34 11.8838
3522 160 4 6 7 8 8.54472e+07 2.49262
4013 160 4 6 7 8 38661 1.6657
3590 160 4 6 7 8 1.62099e+07 1.69745
3308 160 4 6 7 8 1144.21 3.53947
6874 160 4 6 7 8 2.81803e+06 1.67303
2280 160 4 6 7 8 1932.81 2.59596
3579 160 4 6 7 8 789825 67.8771
206 160 4 6 7 8 2850.44 65.1653
8430 160 4 6 7 8 492362 1.6952
