Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
1908 217 7 7 7 10 2.09734e+07 2.39005
9444 217 7 7 7 10 1.46944e+06 2.3953
5542 217 7 7 7 10 74144.2 2.36742
58 217 7 7 7 10 2.38243e+08 3.58194
1928 217 7 7 7 10 1.92619e+06 3.61825
1000 217 7 7 7 10 4.06161e+06 2.40159
5466 217 7 7 7 10 162654 2.33918
4547 217 7 7 7 10 3.71359e+06 3.49735
2048 217 7 7 7 10 44054.8 2.39088
8680 217 7 7 7 10 680926 2.34234
9627 217 7 7 7 10 126101 2.34131
2254 217 7 7 7 10 230095 2.37333
3729 217 7 7 7 10 2040.1 2.46374
4916 217 7 7 7 10 20059.5 2.39016
9435 217 7 7 7 10 1.49406e+06 110.695
6182 217 7 7 7 10 32344.3 2.34308
1306 217 7 7 7 10 158843 2.38027
2180 217 7 7 7 10 2.49432e+06 2.39951
3836 217 7 7 7 10 24102.7 3.81345
4078 217 7 7 7 10 407017 2.35374
6010 217 7 7 7 10 38112.3 2.36985
4528 217 7 7 7 10 509205 3.49932
2747 217 7 7 7 10 297900 2.37143
9192 217 7 7 7 10 170795 2.34163
5607 217 7 7 7 10 5.49934e+06 3.50357
7744 217 7 7 7 10 640818 3.61441
3998 217 7 7 7 10 266785 2.45964
202 217 7 7 7 10 117433 3.62087
4307 217 7 7 7 10 11549.3 2.51702
7066 217 7 7 7 10 24950.6 43.8661
3380 217 7 7 7 10 83263.2 2.37351
537 217 7 7 7 10 12712.4 53.5311
6108 217 7 7 7 10 464830 3.65596
82 217 7 7 7 10 7.99531e+06 2.61841
8059 217 7 7 7 10 244982 2.35435
6089 217 7 7 7 10 9.73641e+06 92.311
202 217 7 7 7 10 117433 3.61822
6594 217 7 7 7 10 6.18047e+06 225.989
2474 217 7 7 7 10 537.176 10.767
5332 217 7 7 7 10 853103 2.49547
527 217 7 7 7 10 2.59047e+07 3.57732
9933 217 7 7 7 10 565850 2.38212
6708 217 7 7 7 10 55568.7 3.68727
7577 217 7 7 7 10 85690.9 3.55091
4520 217 7 7 7 10 161272 375.727
5332 217 7 7 7 10 853103 2.495
7118 217 7 7 7 10 131395 2.35851
4242 217 7 7 7 10 114982 2.61708
8569 217 7 7 7 10 31.1131 969.631
4914 217 7 7 7 10 489878 2.40905
8386 217 7 7 7 10 3.69232e+06 2.37092
