#x cv
0.352214 0.352234
0.348665 0.348686
0.345155 0.345177
0.341712 0.341733
0.338337 0.338353
0.335026 0.335036
0.331778 0.33178
0.328583 0.328571
0.325443 0.325417
0.322366 0.32233
0.319346 0.319306
0.316379 0.316338
0.31345 0.313413
0.310558 0.310528
0.307719 0.307697
0.304924 0.304911
0.302165 0.30216
0.299423 0.29943
0.296698 0.296717
0.293992 0.294018
0.291293 0.291323
0.288589 0.288621
0.285874 0.285903
0.283124 0.28315
0.280329 0.280351
0.277478 0.277495
0.274568 0.27458
0.271577 0.271585
0.268491 0.268493
0.265302 0.265296
0.262004 0.261988
0.258588 0.258562
0.255045 0.255016
0.251368 0.25134
0.247567 0.247546
0.243607 0.243594
0.239479 0.239475
0.235185 0.235189
0.230725 0.230738
0.226103 0.226121
0.22132 0.221339
0.216379 0.216397
0.211275 0.211289
0.206011 0.20602
0.200587 0.200593
0.195008 0.195008
0.189277 0.189269
0.183397 0.183379
0.177367 0.177342
0.171189 0.171162
0.164872 0.164845
0.158412 0.15839
0.15182 0.151808
0.145101 0.145101
0.13826 0.138273
0.131314 0.131342
0.124271 0.124305
0.117153 0.117186
0.109965 0.109991
0.102724 0.102742
0.0954566 0.095464
0.0881861 0.0881812
0.0809499 0.0809334
0.0737809 0.0737529
0.0667236 0.0666889
0.0598086 0.0597861
0.0530984 0.0530978
0.0466463 0.0466752
0.0405324 0.0405728
0.0348159 0.0348377
0.0295235 0.0295219
0.0246797 0.0246566
0.0202934 0.0202738
0.0164067 0.0164013
0.0130345 0.013046
0.0101763 0.0101813
0.00778427 0.00777893
0.00580549 0.00580401
0.00420032 0.00420169
0.0029159 0.0029166
0.00190979 0.00190811
0.00114253 0.00114395
0.000602693 0.000603466
0.000257271 0.000257315
1.75428 1.75423
1.73482 1.73477
1.71554 1.71551
1.69646 1.69643
1.67756 1.67754
1.65885 1.65883
1.64031 1.6403
1.62194 1.62194
1.60381 1.60381
1.58582 1.58583
1.56797 1.56798
1.55026 1.55027
1.53268 1.5327
1.51524 1.51527
1.49794 1.49797
1.48077 1.4808
1.46373 1.46375
1.44684 1.44687
1.4301 1.43013
1.41351 1.41354
1.39707 1.3971
1.38078 1.3808
1.36463 1.36466
1.34864 1.34867
1.33279 1.33282
1.31708 1.3171
1.30151 1.30153
1.28608 1.2861
1.27079 1.27081
1.25564 1.25565
1.24061 1.24063
1.22573 1.22574
1.21099 1.211
1.19639 1.19639
1.18192 1.18193
1.1676 1.16761
1.15341 1.15342
1.13936 1.13937
1.12545 1.12545
1.11167 1.11167
1.09802 1.09803
1.0845 1.08451
1.07112 1.07112
1.05786 1.05786
1.04473 1.04473
1.03173 1.03174
1.01885 1.01886
1.00611 1.00612
0.993487 0.993495
0.980993 0.980998
0.968623 0.968626
0.956378 0.956378
0.944257 0.944254
0.93226 0.932252
0.920384 0.920372
0.908629 0.908613
0.896995 0.896976
0.88548 0.885459
0.874085 0.874061
0.862809 0.862782
0.85165 0.85162
0.840609 0.840578
0.829686 0.829654
0.818878 0.818848
0.808187 0.808158
0.797611 0.797584
0.787143 0.787122
0.776786 0.776772
0.766548 0.76654
0.756428 0.756423
0.746424 0.746422
0.736534 0.736534
0.726758 0.726759
0.717098 0.717096
0.707548 0.707542
0.698104 0.698096
0.688764 0.688755
0.679526 0.679518
0.670389 0.670384
0.661355 0.661352
0.652429 0.652432
0.643603 0.643613
0.634872 0.634887
0.626235 0.626254
0.617693 0.617714
0.609246 0.609268
0.600894 0.600917
0.592616 0.592636
0.58444 0.584458
0.57637 0.576386
0.568404 0.568418
0.560539 0.560552
0.552774 0.552785
0.545113 0.545124
0.537563 0.537576
0.530094 0.530107
0.522708 0.52272
0.515403 0.515413
0.508181 0.508188
0.501042 0.501045
0.493983 0.49398
0.487008 0.486999
0.480119 0.480105
0.473314 0.473298
0.466595 0.466576
0.459961 0.459942
0.453419 0.453399
0.446962 0.446942
0.440586 0.440568
0.434292 0.434276
0.428081 0.428068
0.421955 0.421945
0.415902 0.415899
0.409938 0.409941
0.404069 0.404077
0.398296 0.398305
0.392617 0.392626
0.387032 0.387039
0.381521 0.381526
0.376112 0.376113
0.370803 0.3708
0.365589 0.365582
0.360468 0.360457
0.355434 0.355416
0.350485 0.35046
0.345621 0.345593
0.340838 0.340811
0.336131 0.336109
0.331484 0.33147
0.326896 0.326892
0.322391 0.322396
0.317959 0.317973
0.31359 0.313612
0.309273 0.309303
0.304999 0.305037
0.300763 0.300804
0.296554 0.296594
0.292362 0.292399
0.288183 0.288214
0.283993 0.284016
0.279783 0.279797
0.275543 0.275548
0.271272 0.271267
0.26695 0.266935
0.262567 0.262543
0.258114 0.258084
0.253595 0.253557
0.248992 0.248949
0.244295 0.244252
0.239501 0.239461
0.234615 0.234583
0.229622 0.229598
0.224518 0.224503
0.219306 0.2193
0.213986 0.21399
0.20856 0.208571
0.203029 0.203044
0.197398 0.197416
0.191661 0.191681
0.185824 0.185843
0.179888 0.179906
0.173858 0.173872
0.167736 0.167746
0.161528 0.161531
0.155233 0.155232
0.148857 0.148854
0.14241 0.142405
0.135888 0.135885
0.129304 0.129305
0.122666 0.122672
0.115983 0.115993
0.109273 0.109287
0.102543 0.102556
0.0958154 0.0958247
0.0890988 0.0891022
0.0824168 0.0824143
0.0757938 0.0757848
0.0692582 0.0692425
0.0628404 0.0628201
0.0565743 0.0565519
0.050495 0.0504774
0.0446385 0.0446356
0.0390558 0.0390672
0.033782 0.0338051
0.0288845 0.028904
0.0243865 0.0243894
0.0202865 0.0202769
0.016603 0.0165901
