Seed  np arch1 chi2/dat duration
9271 79 26 0.708203 88.7
781 79 26 2.0919 91.2687
5391 79 26 5.6543 102.274
281 79 26 0.547714 101.036
876 79 26 5.97012 130.818
4676 79 26 0.553282 97.7365
5259 79 26 6.99495 122.915
6393 79 26 0.753225 92.1372
8645 79 26 0.625603 115.817
2276 79 26 0.401801 93.3894
1648 79 26 0.93128 108.88
4089 79 26 12.4611 90.9904
7077 79 26 0.978484 97.2641
1099 79 26 224.297 102.583
5812 79 26 0.762948 115.137
809 79 26 1.24767 100.853
7316 79 26 10.0832 117.689
3601 79 26 0.717779 120.022
6759 79 26 16.1559 125.625
9426 79 26 1.8167 110.737
5231 79 26 0.443553 123.672
2099 79 26 16.5263 97.2028
8896 79 26 4.73265 89.7882
6384 79 26 6.65363 95.3852
7939 79 26 18.7317 131.893
8337 79 26 3.37252 108.104
6276 79 26 7.26141 94.763
5054 79 26 99.9872 107.412
9624 79 26 0.948256 94.8269
9297 79 26 9.90557 100.139
511 79 26 0.53817 115.002
9603 79 26 0.669143 109.189
1317 79 26 3.69775 107.383
2732 79 26 0.708756 110.788
6204 79 26 28.7847 107.442
5000 79 26 3.54852 96.9999
8830 79 26 2.79138 116.331
92 79 26 0.557053 104.777
8000 79 26 0.632514 121.148
5683 79 26 0.528403 91.2746
266 79 26 0.586466 97.6626
8603 79 26 4.9395 95.9074
2213 79 26 1.53047 129.862
6134 79 26 0.72529 127.874
5460 79 26 0.712981 105.864
2767 79 26 0.711799 101.702
5842 79 26 0.75423 120.975
1645 79 26 4.8401 105.82
903 79 26 0.80369 109.865
4259 79 26 0.511279 121.707
9256 79 26 0.585319 113.561
