Seed  np arch1 chi2/dat duration
8786 16 5 6.07241 22.6791
1816 16 5 6.73087 24.1716
5703 16 5 15.1278 3.21702
1926 16 5 22.8388 19.9999
969 16 5 22.4959 21.3394
8247 16 5 371.401 18.8659
537 16 5 28.1904 18.8943
1432 16 5 41.1219 19.7687
6612 16 5 10.5956 20.3355
1813 16 5 11.7301 22.0507
4709 16 5 12.8472 23.3808
4240 16 5 8.33919 2.7022
4658 16 5 219.176 1.82139
82 16 5 8.19971 23.4146
8970 16 5 42.4939 20.2763
1327 16 5 36.5787 21.4855
7505 16 5 11.3311 18.4783
776 16 5 668.52 18.917
1186 16 5 100.94 19.6803
1078 16 5 9.67957 23.8334
7455 16 5 9.55392 24.0115
7183 16 5 96.0355 17.7932
2706 16 5 17.131 18.7342
6980 16 5 42.4657 19.2373
3655 16 5 17.3688 20.0869
1180 16 5 34.112 20.117
7366 16 5 128.875 18.0391
7065 16 5 42.0381 19.5113
7933 16 5 30.1811 21.8688
8390 16 5 11.9398 23.2658
2242 16 5 15.7682 19.9844
2718 16 5 43.793 22.0037
9168 16 5 30.6493 19.2983
2627 16 5 18.2122 1.60473
3355 16 5 42.785 22.3983
4269 16 5 21.7241 5.87298
797 16 5 138.275 21.1461
2997 16 5 28.0471 12.0637
1385 16 5 5.40485 23.3148
6187 16 5 19.0677 13.5495
122 16 5 116.412 21.7866
9913 16 5 37.5786 20.1784
7501 16 5 13.9791 20.9814
1727 16 5 13.9212 3.64555
5926 16 5 188.624 23.1963
7147 16 5 66.6125 23.7288
4763 16 5 16.8161 21.6164
2339 16 5 19.2843 19.2145
3415 16 5 46.399 2.10426
55 16 5 18.11 17.976
4944 16 5 11.8281 24.1842
