Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
2632 190 8 8 5 8 4862.94 0.20152
1628 190 8 8 5 8 93.1943 0.655815
6821 190 8 8 5 8 124.871 0.178624
4795 190 8 8 5 8 1420.34 0.285378
7996 190 8 8 5 8 159.404 7.23072
7188 190 8 8 5 8 227.152 0.825857
1759 190 8 8 5 8 28.5913 7.26785
8194 190 8 8 5 8 2.01861 7.228
1944 190 8 8 5 8 840.839 7.04069
3991 190 8 8 5 8 20.6957 7.49697
4591 190 8 8 5 8 50.2207 7.31745
3271 190 8 8 5 8 67.6929 6.77733
8527 190 8 8 5 8 150.914 7.59062
5956 190 8 8 5 8 6.29877 7.46343
8348 190 8 8 5 8 2.94417 7.28796
2597 190 8 8 5 8 0.399118 7.61424
1445 190 8 8 5 8 122.679 0.685234
9832 190 8 8 5 8 311.492 7.99451
2620 190 8 8 5 8 77.1674 0.170509
6996 190 8 8 5 8 19.4736 7.0385
9852 190 8 8 5 8 79.6107 0.060156
954 190 8 8 5 8 2102.14 7.33092
2908 190 8 8 5 8 1.84999 7.34902
6182 190 8 8 5 8 439.519 6.98799
5894 190 8 8 5 8 53.2254 8.02944
3364 190 8 8 5 8 134.113 0.167927
5803 190 8 8 5 8 3.58508 7.23167
3467 190 8 8 5 8 1538.32 0.0716107
1293 190 8 8 5 8 144.141 0.313691
9818 190 8 8 5 8 1134.52 0.0756305
1635 190 8 8 5 8 185.526 0.0880803
1055 190 8 8 5 8 580.004 0.0704083
7696 190 8 8 5 8 2.97673 7.35381
903 190 8 8 5 8 82.616 6.90753
4147 190 8 8 5 8 738.951 0.0483235
5815 190 8 8 5 8 61.8104 7.55116
3495 190 8 8 5 8 13.0248 9.02962
8254 190 8 8 5 8 196.955 7.58743
1073 190 8 8 5 8 299.458 1.78007
7636 190 8 8 5 8 45.2038 8.30593
8236 190 8 8 5 8 63.654 0.413155
2536 190 8 8 5 8 1181.51 0.0692663
3379 190 8 8 5 8 94.7452 0.165153
2302 190 8 8 5 8 247.427 0.0990699
7408 190 8 8 5 8 188.166 0.129164
977 190 8 8 5 8 89.4621 7.74507
1669 190 8 8 5 8 118.589 4.85711
2727 190 8 8 5 8 0.713012 6.92276
540 190 8 8 5 8 130.801 7.25978
7946 190 8 8 5 8 31.8809 7.75525
9120 190 8 8 5 8 5.01462 7.0176
