Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
5773 275 8 10 8 8 9.18696 11.4175
2835 275 8 10 8 8 78.2996 1.87766
3604 275 8 10 8 8 538.224 0.137519
2640 275 8 10 8 8 458.109 0.0769677
3576 275 8 10 8 8 49.5127 11.4711
4464 275 8 10 8 8 209.592 0.381317
5946 275 8 10 8 8 138.89 12.2801
8899 275 8 10 8 8 12201 0.158463
1264 275 8 10 8 8 73.6208 11.9009
9508 275 8 10 8 8 0.581105 11.7112
1589 275 8 10 8 8 44.7445 12.1432
1258 275 8 10 8 8 1192.91 0.92005
5808 275 8 10 8 8 1159.1 0.106051
6349 275 8 10 8 8 1.3009 11.3934
590 275 8 10 8 8 39.0204 11.4222
7011 275 8 10 8 8 198.569 12.1904
880 275 8 10 8 8 119.871 12.0833
6317 275 8 10 8 8 32.1538 20.2849
8459 275 8 10 8 8 766.976 0.103545
3593 275 8 10 8 8 442.831 0.0798867
2152 275 8 10 8 8 273.47 0.0812035
3525 275 8 10 8 8 116.904 12.2015
5951 275 8 10 8 8 314.757 0.252134
4348 275 8 10 8 8 402.752 6.35432
2507 275 8 10 8 8 180.203 0.123028
1849 275 8 10 8 8 873.016 0.0791353
4373 275 8 10 8 8 337.377 11.6551
476 275 8 10 8 8 167.267 0.115999
366 275 8 10 8 8 297.853 11.9059
1809 275 8 10 8 8 61.2805 13.9011
4215 275 8 10 8 8 312.168 12.198
6184 275 8 10 8 8 114.465 0.460544
909 275 8 10 8 8 0.0930501 12.0744
8269 275 8 10 8 8 4.87847 12.3081
2053 275 8 10 8 8 107.727 11.3074
7885 275 8 10 8 8 723.324 0.417234
3228 275 8 10 8 8 84.9315 0.0740035
5659 275 8 10 8 8 695.105 0.420932
6256 275 8 10 8 8 43.0179 11.5147
2403 275 8 10 8 8 246.421 0.187587
331 275 8 10 8 8 1004.52 15.1801
5478 275 8 10 8 8 70.968 16.0983
498 275 8 10 8 8 67.1486 14.0353
7933 275 8 10 8 8 181.854 12.2322
4760 275 8 10 8 8 14.2762 11.8784
6649 275 8 10 8 8 150.268 12.3472
5152 275 8 10 8 8 1171.52 13.1377
548 275 8 10 8 8 0.519686 11.7808
516 275 8 10 8 8 1642.69 12.0309
1065 275 8 10 8 8 81.1018 12.0931
7905 275 8 10 8 8 329.145 0.112319
