Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
8938 161 5 6 6 9 241.996 0.0773237
9569 161 5 6 6 9 45.4495 0.0671913
968 161 5 6 6 9 95.6508 0.0646401
3186 161 5 6 6 9 76.1313 6.58885
2669 161 5 6 6 9 287.827 0.123506
578 161 5 6 6 9 82.4056 0.0582614
962 161 5 6 6 9 0.387683 6.60637
4181 161 5 6 6 9 573.53 0.454005
4064 161 5 6 6 9 1.9983 6.66719
1566 161 5 6 6 9 360.057 0.0372074
9960 161 5 6 6 9 34.1547 6.57152
441 161 5 6 6 9 0.300581 6.75553
3532 161 5 6 6 9 22.9119 6.30224
8843 161 5 6 6 9 64.428 6.16965
4848 161 5 6 6 9 181.239 0.650323
1243 161 5 6 6 9 17.8269 6.41227
3587 161 5 6 6 9 349.644 0.240136
7640 161 5 6 6 9 332.076 7.10105
2603 161 5 6 6 9 115.512 6.73455
5939 161 5 6 6 9 49.3259 0.132064
1720 161 5 6 6 9 0.96099 6.91639
2474 161 5 6 6 9 124.332 6.21797
875 161 5 6 6 9 2280.95 6.22174
4784 161 5 6 6 9 1822.52 0.186026
1579 161 5 6 6 9 143.153 0.0752682
7569 161 5 6 6 9 34.9934 6.73141
1883 161 5 6 6 9 131981 0.380092
933 161 5 6 6 9 63.7584 0.116359
4509 161 5 6 6 9 378.003 0.171171
5493 161 5 6 6 9 153.736 0.369092
2034 161 5 6 6 9 64.1589 6.51074
7474 161 5 6 6 9 1025.88 0.254641
8792 161 5 6 6 9 1811.79 0.149188
6522 161 5 6 6 9 122.628 0.183509
2645 161 5 6 6 9 1126.72 7.21257
9293 161 5 6 6 9 336.382 6.44463
1504 161 5 6 6 9 64.5798 6.18272
3670 161 5 6 6 9 2293.06 0.037934
1117 161 5 6 6 9 50.3789 6.53003
4064 161 5 6 6 9 1.9983 6.67106
792 161 5 6 6 9 161.891 0.541194
266 161 5 6 6 9 0.307685 6.70763
7925 161 5 6 6 9 29.749 6.49858
8610 161 5 6 6 9 177.481 6.36786
82 161 5 6 6 9 25.5847 6.26644
5523 161 5 6 6 9 183.79 6.26734
8573 161 5 6 6 9 32.3364 6.53653
2892 161 5 6 6 9 235.518 0.20137
3180 161 5 6 6 9 114.863 6.3644
518 161 5 6 6 9 710.818 0.0370069
1127 161 5 6 6 9 0.894679 6.51952
