Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
3186 103 8 4 4 5 159.67 0.0407333
2485 103 8 4 4 5 77.0316 5.09978
5448 103 8 4 4 5 197.291 0.0577771
7394 103 8 4 4 5 1383.94 0.195605
7136 103 8 4 4 5 1805.43 0.0503677
9617 103 8 4 4 5 111.072 0.0620464
7068 103 8 4 4 5 54.0432 0.0710373
1884 103 8 4 4 5 732.586 0.127371
229 103 8 4 4 5 163.498 0.0417911
5758 103 8 4 4 5 121.959 0.0936532
1660 103 8 4 4 5 521.87 0.0856781
7857 103 8 4 4 5 61.7061 0.25121
9104 103 8 4 4 5 165.398 0.0570719
6922 103 8 4 4 5 315.797 0.0332095
4599 103 8 4 4 5 53.0221 0.0279621
5327 103 8 4 4 5 545.741 0.0453556
1112 103 8 4 4 5 406.681 0.0399937
2267 103 8 4 4 5 189.701 0.0452131
9779 103 8 4 4 5 59.0351 0.0360996
4708 103 8 4 4 5 3922.08 0.056725
9173 103 8 4 4 5 2390.63 0.260375
4946 103 8 4 4 5 6.13661 4.66737
8614 103 8 4 4 5 185.486 0.0398024
4172 103 8 4 4 5 914.692 0.0555213
3078 103 8 4 4 5 124.751 0.118137
6352 103 8 4 4 5 201.911 0.0325528
7993 103 8 4 4 5 954.95 0.0645226
5720 103 8 4 4 5 260.926 0.0989592
873 103 8 4 4 5 379.901 0.0785269
9742 103 8 4 4 5 16596.3 0.139456
3015 103 8 4 4 5 89.9343 4.7263
8969 103 8 4 4 5 414.686 5.13131
4598 103 8 4 4 5 98.852 0.304742
7782 103 8 4 4 5 78.814 0.0391413
497 103 8 4 4 5 106.817 0.078978
4705 103 8 4 4 5 397.759 0.209444
9916 103 8 4 4 5 403.138 0.0740424
8163 103 8 4 4 5 67.3108 0.0361774
5887 103 8 4 4 5 52333.9 0.0497648
9098 103 8 4 4 5 288.287 0.162677
3934 103 8 4 4 5 638.424 0.0487032
3175 103 8 4 4 5 174.893 0.0862122
5862 103 8 4 4 5 297.078 0.0860436
4745 103 8 4 4 5 691.028 0.0947514
7242 103 8 4 4 5 68.4754 4.8055
6801 103 8 4 4 5 21.2483 4.76587
9301 103 8 4 4 5 273.709 0.138331
2188 103 8 4 4 5 179.81 0.0550641
4221 103 8 4 4 5 503.284 0.107923
7841 103 8 4 4 5 193.682 4.40587
2783 103 8 4 4 5 96.8866 0.406859
