Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
4358 172 4 7 10 4 80.2474 9.50774
8769 172 4 7 10 4 405.977 0.0517253
5176 172 4 7 10 4 1127.35 0.0713717
6154 172 4 7 10 4 335.435 0.733205
4713 172 4 7 10 4 412.264 6.58067
2344 172 4 7 10 4 190.552 6.67914
6257 172 4 7 10 4 178.639 0.152011
6096 172 4 7 10 4 0.372885 6.8028
6434 172 4 7 10 4 229.803 0.0546123
2210 172 4 7 10 4 27.6387 6.91921
8853 172 4 7 10 4 35.5603 6.51101
812 172 4 7 10 4 42.9757 0.28844
3581 172 4 7 10 4 267.671 0.118026
8064 172 4 7 10 4 1531.73 0.0433969
4792 172 4 7 10 4 1916.83 0.22004
7248 172 4 7 10 4 480.943 0.087723
3726 172 4 7 10 4 214.09 0.246701
20 172 4 7 10 4 746.483 0.110821
3386 172 4 7 10 4 168.599 0.437794
9805 172 4 7 10 4 2565.17 0.0380995
4262 172 4 7 10 4 931.028 6.63842
8112 172 4 7 10 4 478.736 0.0489791
4025 172 4 7 10 4 1712.65 6.50735
3000 172 4 7 10 4 100.224 0.279588
9902 172 4 7 10 4 2619.28 0.0405127
7213 172 4 7 10 4 695.897 0.048118
4328 172 4 7 10 4 86.8083 0.182064
4974 172 4 7 10 4 180.068 6.48181
2585 172 4 7 10 4 0.677967 6.95246
989 172 4 7 10 4 0.575531 6.83825
8695 172 4 7 10 4 112.92 6.94918
901 172 4 7 10 4 93.5331 0.387047
2469 172 4 7 10 4 286.482 0.047586
1646 172 4 7 10 4 6.51698 6.99141
7338 172 4 7 10 4 233.198 6.661
888 172 4 7 10 4 1214.7 0.169307
7046 172 4 7 10 4 593.62 0.038342
8612 172 4 7 10 4 593.62 6.98963
6281 172 4 7 10 4 227.961 0.0385763
8832 172 4 7 10 4 183.882 0.0414946
2141 172 4 7 10 4 120.035 6.44829
6226 172 4 7 10 4 402.334 6.90911
1789 172 4 7 10 4 0.239187 6.50438
3068 172 4 7 10 4 23.9021 7.15988
7839 172 4 7 10 4 1308.89 0.147923
2358 172 4 7 10 4 4721.29 0.135581
7637 172 4 7 10 4 422.805 7.1145
2915 172 4 7 10 4 398.31 0.0880745
2010 172 4 7 10 4 704.45 0.041774
2140 172 4 7 10 4 103.968 0.0715532
1559 172 4 7 10 4 934.979 0.0383778
