Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
6311 237 9 8 10 4 123.446 0.290397
2518 237 9 8 10 4 308.343 9.19011
6764 237 9 8 10 4 179.661 0.728405
595 237 9 8 10 4 160.898 0.461523
8856 237 9 8 10 4 139.658 9.73882
6037 237 9 8 10 4 636.651 0.828151
423 237 9 8 10 4 1550.92 0.0792457
8735 237 9 8 10 4 231.293 0.0902941
3080 237 9 8 10 4 226.842 0.123768
876 237 9 8 10 4 222.383 10.2407
5655 237 9 8 10 4 444.149 0.0628055
3561 237 9 8 10 4 69.6591 0.969552
9169 237 9 8 10 4 528.575 0.114801
2722 237 9 8 10 4 259.14 0.0753253
3579 237 9 8 10 4 101.202 10.7427
9613 237 9 8 10 4 763.583 0.105268
1203 237 9 8 10 4 8579.42 0.298709
2258 237 9 8 10 4 161.752 0.620603
7491 237 9 8 10 4 178.126 0.087625
8869 237 9 8 10 4 48.0111 9.64469
5355 237 9 8 10 4 321.732 0.304177
359 237 9 8 10 4 7219.84 0.118296
2414 237 9 8 10 4 1120.58 14.025
4373 237 9 8 10 4 184.24 9.20281
9740 237 9 8 10 4 2657.41 0.0538843
3471 237 9 8 10 4 67.452 2.53928
5574 237 9 8 10 4 780.775 9.59565
1226 237 9 8 10 4 90.1715 9.51848
124 237 9 8 10 4 350.392 0.128971
232 237 9 8 10 4 44.7725 9.58873
2482 237 9 8 10 4 426.68 0.162264
22 237 9 8 10 4 2015.7 0.111079
9812 237 9 8 10 4 222.064 0.29884
7504 237 9 8 10 4 1094.97 0.543573
8408 237 9 8 10 4 1157.56 0.0658546
2654 237 9 8 10 4 29.3904 9.99937
7573 237 9 8 10 4 114.9 0.127465
173 237 9 8 10 4 1042.67 0.0537679
7594 237 9 8 10 4 14.5233 9.74414
561 237 9 8 10 4 227.139 0.804209
700 237 9 8 10 4 24.2533 9.97981
4009 237 9 8 10 4 258.703 0.260664
4384 237 9 8 10 4 1890.63 11.1874
2082 237 9 8 10 4 214.358 0.238541
2029 237 9 8 10 4 3428.36 0.0767483
8020 237 9 8 10 4 1365.86 0.134235
3478 237 9 8 10 4 798.263 0.0984531
4597 237 9 8 10 4 559.97 0.321075
2305 237 9 8 10 4 485.02 0.110227
9798 237 9 8 10 4 123.07 0.112886
2949 237 9 8 10 4 265.219 0.273992
