Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
3694 187 10 8 4 7 556.286 0.0709649
1584 187 10 8 4 7 1235.34 0.0696627
758 187 10 8 4 7 467.204 0.195526
3579 187 10 8 4 7 43.6134 7.34848
5164 187 10 8 4 7 852.513 0.201608
5599 187 10 8 4 7 213.201 7.20544
1999 187 10 8 4 7 32.2945 7.80555
9429 187 10 8 4 7 213.171 0.204726
4421 187 10 8 4 7 17.2815 7.65064
9754 187 10 8 4 7 963.365 0.0662858
6320 187 10 8 4 7 198.372 0.197559
9289 187 10 8 4 7 0.59971 7.18573
1809 187 10 8 4 7 69.317 0.216028
7563 187 10 8 4 7 146.49 7.35973
2702 187 10 8 4 7 13.2605 7.02582
319 187 10 8 4 7 159.92 0.420626
2192 187 10 8 4 7 604.867 0.0722569
1455 187 10 8 4 7 213.861 0.0761836
7931 187 10 8 4 7 6.85668 7.10628
5785 187 10 8 4 7 631.222 0.172184
5595 187 10 8 4 7 1713.73 0.205594
8957 187 10 8 4 7 341.007 0.0821314
1275 187 10 8 4 7 26.5331 7.36132
4956 187 10 8 4 7 1354.86 0.0750647
5034 187 10 8 4 7 186.505 0.301258
6699 187 10 8 4 7 877.389 0.0851641
9968 187 10 8 4 7 142.092 1.53581
355 187 10 8 4 7 8.34557 7.89727
4534 187 10 8 4 7 122.435 0.671238
1683 187 10 8 4 7 3162.87 0.0633144
4161 187 10 8 4 7 3768.52 0.458705
1779 187 10 8 4 7 123.478 0.768586
4624 187 10 8 4 7 110.7 0.100931
1899 187 10 8 4 7 57.2837 0.857995
8085 187 10 8 4 7 827.639 0.188046
1954 187 10 8 4 7 2496.38 0.268805
560 187 10 8 4 7 23.349 8.01495
1025 187 10 8 4 7 1808.39 7.34125
60 187 10 8 4 7 661.113 6.09421
5767 187 10 8 4 7 61.1209 0.217464
3294 187 10 8 4 7 466.526 0.0469991
6815 187 10 8 4 7 115.87 7.59584
8796 187 10 8 4 7 13.9236 8.90033
2409 187 10 8 4 7 1409.5 0.139261
7313 187 10 8 4 7 41.3281 7.29081
9996 187 10 8 4 7 273.255 0.121187
8498 187 10 8 4 7 129.716 0.283114
8351 187 10 8 4 7 426.514 0.281033
8313 187 10 8 4 7 17.8666 7.01286
85 187 10 8 4 7 418.381 0.181073
5536 187 10 8 4 7 275.229 0.138787
