Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
1268 325 9 10 10 8 844.54 0.349427
9946 325 9 10 10 8 396.764 0.582355
6895 325 9 10 10 8 52.4302 16.4851
557 325 9 10 10 8 12.9729 16.1468
3249 325 9 10 10 8 572.069 16.0276
9326 325 9 10 10 8 39.8017 16.4447
8517 325 9 10 10 8 26.5265 15.6533
1825 325 9 10 10 8 1120.13 15.8159
1728 325 9 10 10 8 73.3217 17.8252
6996 325 9 10 10 8 226.876 17.1045
5065 325 9 10 10 8 0.32437 15.6362
3372 325 9 10 10 8 37.2927 15.3815
9114 325 9 10 10 8 39.788 14.7969
5567 325 9 10 10 8 0.438338 16.6699
1464 325 9 10 10 8 65.0493 15.9184
9034 325 9 10 10 8 0.435298 15.5714
4845 325 9 10 10 8 248.357 15.2667
2744 325 9 10 10 8 891.697 18.2895
3195 325 9 10 10 8 11.6602 17.4975
6284 325 9 10 10 8 69.0519 15.8392
3506 325 9 10 10 8 12.9891 15.7462
4073 325 9 10 10 8 446.702 0.235064
8764 325 9 10 10 8 283.253 16.3044
2623 325 9 10 10 8 1.98365 15.3447
4797 325 9 10 10 8 79.8578 16.5144
2887 325 9 10 10 8 0.526025 15.4242
8357 325 9 10 10 8 682.399 0.260437
1248 325 9 10 10 8 345.872 6.61262
913 325 9 10 10 8 37.6073 16.5707
7877 325 9 10 10 8 11.4625 17.6627
3247 325 9 10 10 8 1.38777 15.4937
3484 325 9 10 10 8 17.1526 15.0244
7581 325 9 10 10 8 283.386 0.326133
1732 325 9 10 10 8 362.871 0.0896054
8535 325 9 10 10 8 0.314642 15.2393
7086 325 9 10 10 8 463.751 1.44231
3804 325 9 10 10 8 233.676 0.441216
9633 325 9 10 10 8 1043.88 16.3282
1160 325 9 10 10 8 275.494 0.295113
1263 325 9 10 10 8 8448.54 0.578576
2119 325 9 10 10 8 145.021 15.5336
4910 325 9 10 10 8 0.529189 15.0898
4284 325 9 10 10 8 486.141 0.550507
184 325 9 10 10 8 12.6093 15.8627
6924 325 9 10 10 8 378.036 0.428109
6497 325 9 10 10 8 2.70367 15.5852
4727 325 9 10 10 8 221.523 0.121747
8663 325 9 10 10 8 1255.63 0.328085
4412 325 9 10 10 8 0.299133 14.9784
7946 325 9 10 10 8 70.6607 16.0065
617 325 9 10 10 8 25.8299 16.7699
