Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
4108 277 9 7 10 9 48.9993 12.8524
3192 277 9 7 10 9 132.102 12.6883
7084 277 9 7 10 9 57.2284 8.57751
108 277 9 7 10 9 40.744 12.5577
514 277 9 7 10 9 106.116 11.9377
3982 277 9 7 10 9 0.792198 11.9696
266 277 9 7 10 9 44.554 12.447
3723 277 9 7 10 9 333.894 6.22572
7507 277 9 7 10 9 351.713 2.88699
6626 277 9 7 10 9 27.1829 12.2727
4755 277 9 7 10 9 62.0673 11.8538
2415 277 9 7 10 9 122.31 12.1894
5380 277 9 7 10 9 134.434 0.737092
3002 277 9 7 10 9 76.7936 0.43874
2434 277 9 7 10 9 830.847 0.183371
9905 277 9 7 10 9 75.4729 12.1459
9221 277 9 7 10 9 122.304 13.6347
9351 277 9 7 10 9 271.867 13.6007
9585 277 9 7 10 9 46.1322 11.501
1926 277 9 7 10 9 456.955 0.327134
2102 277 9 7 10 9 292.844 0.304675
9599 277 9 7 10 9 43.7051 0.441008
4910 277 9 7 10 9 59.8304 12.2394
7352 277 9 7 10 9 141.363 12.3304
2241 277 9 7 10 9 52.6854 12.5975
6048 277 9 7 10 9 116.419 12.8668
9960 277 9 7 10 9 269.519 12.3227
6933 277 9 7 10 9 1021.98 20.9154
5576 277 9 7 10 9 57.6231 0.128821
582 277 9 7 10 9 38.8259 12.5645
1846 277 9 7 10 9 44.0638 12.4913
6186 277 9 7 10 9 32.2734 12.0256
7327 277 9 7 10 9 94.7571 12.5386
7255 277 9 7 10 9 139.136 12.0559
9472 277 9 7 10 9 123.373 0.385324
7051 277 9 7 10 9 27.8666 11.9443
947 277 9 7 10 9 293.084 0.0703099
2944 277 9 7 10 9 201.248 0.084746
5308 277 9 7 10 9 201.921 12.0561
8530 277 9 7 10 9 94.666 12.2918
2404 277 9 7 10 9 0.540011 11.7841
1571 277 9 7 10 9 318.032 12.2585
9415 277 9 7 10 9 103.549 1.16277
3796 277 9 7 10 9 105.777 11.9627
5153 277 9 7 10 9 1.66078 12.0616
749 277 9 7 10 9 679.383 0.127512
627 277 9 7 10 9 20.2662 12.323
223 277 9 7 10 9 118.763 12.9274
584 277 9 7 10 9 420.251 11.3738
9577 277 9 7 10 9 359.266 0.934414
80 277 9 7 10 9 598.348 0.640813
