#x Gluon Gluon_error
0.001 -0.682802
0.00100692 -0.678537
0.0010139 -0.674269
0.00102092 -0.669997
0.00102799 -0.665723
0.00103511 -0.661445
0.00104227 -0.657163
0.00104949 -0.652879
0.00105676 -0.648592
0.00106408 -0.644301
0.00107145 -0.640007
0.00107886 -0.63571
0.00108634 -0.63141
0.00109386 -0.627107
0.00110143 -0.622801
0.00110906 -0.618492
0.00111674 -0.614179
0.00112447 -0.609864
0.00113226 -0.605546
0.0011401 -0.601224
0.001148 -0.5969
0.00115594 -0.592573
0.00116395 -0.588243
0.00117201 -0.58391
0.00118013 -0.579574
0.0011883 -0.575236
0.00119653 -0.570894
0.00120481 -0.56655
0.00121315 -0.562202
0.00122156 -0.557852
0.00123001 -0.5535
0.00123853 -0.549144
0.00124711 -0.544786
0.00125574 -0.540425
0.00126444 -0.536061
0.0012732 -0.531695
0.00128201 -0.527326
0.00129089 -0.522954
0.00129983 -0.51858
0.00130883 -0.514203
0.00131789 -0.509823
0.00132702 -0.505441
0.00133621 -0.501056
0.00134546 -0.496669
0.00135478 -0.49228
0.00136416 -0.487887
0.00137361 -0.483493
0.00138312 -0.479096
0.0013927 -0.474696
0.00140234 -0.470294
0.00141205 -0.46589
0.00142183 -0.461483
0.00143167 -0.457074
0.00144159 -0.452663
0.00145157 -0.448249
0.00146162 -0.443833
0.00147174 -0.439415
0.00148194 -0.434995
0.0014922 -0.430572
0.00150253 -0.426147
0.00151293 -0.42172
0.00152341 -0.417291
0.00153396 -0.412859
0.00154458 -0.408426
0.00155528 -0.40399
0.00156605 -0.399553
0.00157689 -0.395113
0.00158781 -0.390671
0.00159881 -0.386227
0.00160988 -0.381782
0.00162103 -0.377334
0.00163225 -0.372884
0.00164355 -0.368432
0.00165494 -0.363979
0.0016664 -0.359523
0.00167794 -0.355066
0.00168955 -0.350607
0.00170125 -0.346146
0.00171303 -0.341683
0.0017249 -0.337219
0.00173684 -0.332752
0.00174887 -0.328284
0.00176098 -0.323814
0.00177317 -0.319343
0.00178545 -0.31487
0.00179782 -0.310395
0.00181027 -0.305919
0.0018228 -0.301441
0.00183542 -0.296961
0.00184813 -0.29248
0.00186093 -0.287997
0.00187382 -0.283513
0.00188679 -0.279027
0.00189986 -0.27454
0.00191301 -0.270052
0.00192626 -0.265561
0.0019396 -0.26107
0.00195303 -0.256577
0.00196656 -0.252083
0.00198017 -0.247588
0.00199389 -0.243091
0.00200769 -0.238593
0.0020216 -0.234093
0.00203559 -0.229593
0.00204969 -0.225091
0.00206388 -0.220588
0.00207818 -0.216083
0.00209257 -0.211578
0.00210706 -0.207071
0.00212165 -0.202564
0.00213634 -0.198055
0.00215113 -0.193545
0.00216603 -0.189034
0.00218103 -0.184523
0.00219613 -0.18001
0.00221134 -0.175496
0.00222665 -0.170981
0.00224207 -0.166466
0.0022576 -0.161949
0.00227323 -0.157431
0.00228897 -0.152913
0.00230482 -0.148394
0.00232078 -0.143874
0.00233685 -0.139353
0.00235303 -0.134832
0.00236933 -0.130309
0.00238574 -0.125786
0.00240226 -0.121263
0.00241889 -0.116738
0.00243564 -0.112213
0.00245251 -0.107688
0.00246949 -0.103161
0.00248659 -0.0986344
0.00250381 -0.094107
0.00252115 -0.089579
0.00253861 -0.0850506
0.00255619 -0.0805216
0.00257389 -0.0759921
0.00259171 -0.0714622
0.00260966 -0.0669319
0.00262773 -0.0624011
0.00264592 -0.05787
0.00266425 -0.0533385
0.0026827 -0.0488067
0.00270127 -0.0442745
0.00271998 -0.0397421
0.00273881 -0.0352093
0.00275778 -0.0306764
0.00277688 -0.0261432
0.0027961 -0.0216097
0.00281547 -0.0170761
0.00283496 -0.0125424
0.00285459 -0.00800847
0.00287436 -0.00347443
0.00289427 0.0010597
0.00291431 0.00559391
0.00293449 0.0101282
0.00295481 0.0146625
0.00297527 0.0191968
0.00299587 0.0237311
0.00301662 0.0282654
0.00303751 0.0327997
0.00305854 0.0373339
0.00307972 0.041868
0.00310105 0.0464019
0.00312252 0.0509358
0.00314414 0.0554695
0.00316592 0.060003
0.00318784 0.0645364
0.00320991 0.0690695
0.00323214 0.0736024
0.00325452 0.0781351
0.00327706 0.0826675
0.00329975 0.0871996
0.0033226 0.0917314
0.00334561 0.0962628
0.00336878 0.100794
0.00339211 0.105325
0.0034156 0.109855
0.00343925 0.114385
0.00346306 0.118915
0.00348704 0.123444
0.00351119 0.127972
0.00353551 0.132501
0.00355999 0.137028
0.00358464 0.141555
0.00360946 0.146082
0.00363446 0.150608
0.00365962 0.155134
0.00368497 0.159659
0.00371048 0.164183
0.00373618 0.168707
0.00376205 0.17323
0.0037881 0.177752
0.00381433 0.182274
0.00384075 0.186795
0.00386734 0.191316
0.00389412 0.195835
0.00392109 0.200354
0.00394824 0.204873
0.00397558 0.20939
0.00400311 0.213907
0.00403083 0.218423
0.00405874 0.222938
0.00408685 0.227453
0.00411515 0.231966
0.00414365 0.236479
0.00417234 0.240991
0.00420123 0.245502
0.00423032 0.250012
0.00425962 0.254521
0.00428911 0.259029
0.00431882 0.263537
0.00434872 0.268043
0.00437884 0.272549
0.00440916 0.277053
0.00443969 0.281557
0.00447043 0.28606
0.00450139 0.290561
0.00453256 0.295062
0.00456395 0.299562
0.00459555 0.304061
0.00462737 0.308558
0.00465942 0.313055
0.00469168 0.317551
0.00472417 0.322045
0.00475689 0.326539
0.00478983 0.331031
0.00482299 0.335523
0.00485639 0.340013
0.00489002 0.344502
0.00492388 0.348991
0.00495798 0.353478
0.00499231 0.357964
0.00502688 0.362449
0.00506169 0.366932
