Seed  np arch1 arch2 arch3 chi2/dat duration
6347 227 8 10 10 3159.59 63.9835
4188 227 8 10 10 11.9203 58.7704
6545 227 8 10 10 0.936389 66.65
1001 227 8 10 10 2914.47 66.1669
4296 227 8 10 10 0.924216 60.003
5494 227 8 10 10 358.607 55.6254
6463 227 8 10 10 362.669 59.0444
4053 227 8 10 10 142.453 66.2809
4491 227 8 10 10 0.896613 57.7264
184 227 8 10 10 8032.16 1.74697
9150 227 8 10 10 0.938478 60.4775
1932 227 8 10 10 278.979 60.5007
6221 227 8 10 10 206.952 60.3826
5696 227 8 10 10 0.944712 59.9203
9518 227 8 10 10 0.90577 59.5144
8353 227 8 10 10 6271.25 2.29996
4952 227 8 10 10 18.2929 55.2759
9970 227 8 10 10 0.950013 55.9227
628 227 8 10 10 28.5484 53.962
8488 227 8 10 10 7.8397 53.9813
8570 227 8 10 10 0.895171 63.0174
2514 227 8 10 10 579.166 58.3415
1819 227 8 10 10 52.6178 64.4416
9101 227 8 10 10 19.413 53.066
2185 227 8 10 10 28.738 54.9171
9522 227 8 10 10 3.98025 59.2823
838 227 8 10 10 217.503 63.9187
4949 227 8 10 10 198.038 62.8944
4547 227 8 10 10 710.692 55.9062
5449 227 8 10 10 96.9672 65.0898
9252 227 8 10 10 1451.93 0.684988
2320 227 8 10 10 835.101 65.1129
7478 227 8 10 10 1.05859 57.5179
4591 227 8 10 10 50.7528 60.8655
2391 227 8 10 10 18865.3 0.832212
4803 227 8 10 10 29.5094 62.3804
109 227 8 10 10 4.06033 60.6149
3441 227 8 10 10 2420.61 55.5777
951 227 8 10 10 1436.44 62.1368
4186 227 8 10 10 154.296 63.9705
3439 227 8 10 10 3533.97 0.812765
148 227 8 10 10 0.940792 61.6915
9626 227 8 10 10 578.245 1.4396
1264 227 8 10 10 190.78 59.0315
8032 227 8 10 10 389.528 69.6879
9277 227 8 10 10 0.934731 62.6703
551 227 8 10 10 534.917 64.8675
9561 227 8 10 10 2981.85 59.1423
374 227 8 10 10 484.508 59.281
763 227 8 10 10 110.15 63.4189
6665 227 8 10 10 450.71 58.3128
