Seed  np arch1 arch2 arch3 chi2/dat duration
3187 107 4 10 4 2193.19 0.666679
6979 107 4 10 4 1913.27 1.11867
9418 107 4 10 4 246.811 42.984
5285 107 4 10 4 2.50072 39.4125
4487 107 4 10 4 3937.14 42.9202
2920 107 4 10 4 443.307 43.8514
4326 107 4 10 4 326.176 41.3184
6005 107 4 10 4 32543.8 42.4198
476 107 4 10 4 2629.31 42.5374
9039 107 4 10 4 0.976785 40.983
2918 107 4 10 4 0.971875 40.4915
535 107 4 10 4 1253.09 0.499922
4356 107 4 10 4 211.247 39.6946
6058 107 4 10 4 894.047 0.395672
1715 107 4 10 4 627.2 45.3358
1424 107 4 10 4 340.31 41.6194
3269 107 4 10 4 1154.85 1.99404
3727 107 4 10 4 7887.42 1.98213
2348 107 4 10 4 402.41 46.0808
8400 107 4 10 4 4329.08 1.44922
88 107 4 10 4 20673.8 0.429725
6742 107 4 10 4 9983.99 1.11336
9538 107 4 10 4 731.094 0.401287
494 107 4 10 4 4545.27 0.368945
6018 107 4 10 4 5904.62 0.693423
262 107 4 10 4 1287.99 39.6015
2205 107 4 10 4 932.375 44.0265
1949 107 4 10 4 83.1196 37.5284
5734 107 4 10 4 538.625 44.5012
911 107 4 10 4 1660.22 0.304742
9203 107 4 10 4 471.363 44.4285
5940 107 4 10 4 81756.6 0.860774
9402 107 4 10 4 3420.16 45.6013
9612 107 4 10 4 357.529 40.0327
5815 107 4 10 4 6656.4 39.3192
9288 107 4 10 4 0.947473 45.9869
3813 107 4 10 4 797669 46.1689
2721 107 4 10 4 11.9774 38.7859
7573 107 4 10 4 1393.27 7.13335
1401 107 4 10 4 371.05 41.3074
8877 107 4 10 4 7863.62 45.0425
2558 107 4 10 4 2480.75 46.0497
9129 107 4 10 4 508.007 46.3244
1568 107 4 10 4 8830.36 43.9991
7965 107 4 10 4 2113.29 40.5239
2715 107 4 10 4 1975.31 43.6702
8909 107 4 10 4 4283.36 47.8832
5444 107 4 10 4 4265.91 45.2347
3984 107 4 10 4 2458.39 42.9649
9622 107 4 10 4 2793.77 45.2869
1753 107 4 10 4 1401.94 47.3123
