Seed  np arch1 arch2 arch3 chi2/dat duration
1990 111 8 5 7 0.906571 46.9715
8859 111 8 5 7 0.978414 44.6126
5668 111 8 5 7 8112.49 0.360071
8523 111 8 5 7 7.82347 43.298
8740 111 8 5 7 612.778 43.1817
9220 111 8 5 7 0.943796 45.9143
5177 111 8 5 7 995.496 47.7573
6835 111 8 5 7 117.445 41.9131
3518 111 8 5 7 269.971 40.0239
3614 111 8 5 7 351.961 40.0431
433 111 8 5 7 925.44 0.424526
1525 111 8 5 7 3023.44 47.7272
5547 111 8 5 7 4000.9 0.678802
1092 111 8 5 7 1.12954 38.1926
3346 111 8 5 7 4.07056 43.4732
9608 111 8 5 7 310.88 42.4768
3097 111 8 5 7 1617.72 35.0148
1513 111 8 5 7 1212.17 48.3725
7569 111 8 5 7 73.2128 43.1145
4015 111 8 5 7 851.465 39.1258
5195 111 8 5 7 1251.58 45.6798
3050 111 8 5 7 230.18 45.6162
3331 111 8 5 7 29.582 44.2533
1394 111 8 5 7 12.1772 38.9578
9609 111 8 5 7 14341.9 0.728475
5946 111 8 5 7 5095.74 1.01922
5858 111 8 5 7 0.962911 44.3942
631 111 8 5 7 747.868 1.08752
8511 111 8 5 7 736.286 44.8664
2957 111 8 5 7 55.3975 40.7169
9831 111 8 5 7 16283.7 6.46027
5835 111 8 5 7 51.7386 39.3693
6601 111 8 5 7 224.985 41.9111
2656 111 8 5 7 49.9724 44.9355
3264 111 8 5 7 69.6836 39.9724
2901 111 8 5 7 891.881 41.2092
8299 111 8 5 7 2444.98 47.4647
3817 111 8 5 7 412.41 47.4521
8412 111 8 5 7 3468.94 0.625137
6340 111 8 5 7 152.002 43.0453
1705 111 8 5 7 841.562 42.7676
3415 111 8 5 7 0.961559 47.7419
5667 111 8 5 7 92.7945 42.239
2254 111 8 5 7 1998.51 0.366618
2791 111 8 5 7 433.479 42.2665
8122 111 8 5 7 3642.49 0.303801
3278 111 8 5 7 12665.9 1.03734
1921 111 8 5 7 444.636 41.765
5189 111 8 5 7 2.1141 42.4882
8080 111 8 5 7 1244.8 0.403035
3996 111 8 5 7 118.08 44.1598
