Seed  np arch1 arch2 arch3 chi2/dat duration
8093 89 4 7 5 0.949481 43.6111
9722 89 4 7 5 1261.56 2.2197
5321 89 4 7 5 2265.18 43.3676
9177 89 4 7 5 421.118 41.3379
5979 89 4 7 5 4412.4 0.614764
3724 89 4 7 5 301.343 39.9177
5605 89 4 7 5 0.950506 38.504
5018 89 4 7 5 3860.29 0.939525
4673 89 4 7 5 14042.5 40.0825
2614 89 4 7 5 1235.1 38.2028
6779 89 4 7 5 157.714 38.6903
88 89 4 7 5 20541.1 2.33015
8854 89 4 7 5 1420.95 44.5358
3457 89 4 7 5 0.968251 38.3699
2298 89 4 7 5 6155.78 0.848097
7319 89 4 7 5 810.531 44.8791
9029 89 4 7 5 0.942688 41.6697
1167 89 4 7 5 552.042 38.7418
2158 89 4 7 5 941.77 41.9969
3711 89 4 7 5 2085.77 40.7847
463 89 4 7 5 84.7583 40.8635
367 89 4 7 5 870.959 40.3661
9114 89 4 7 5 659.966 36.2341
1689 89 4 7 5 668.148 0.58728
7714 89 4 7 5 1104.19 38.7994
394 89 4 7 5 21.1702 45.3478
1668 89 4 7 5 827.424 37.5615
6158 89 4 7 5 105239 0.302945
9891 89 4 7 5 9817.46 0.733604
2892 89 4 7 5 1181.08 40.656
313 89 4 7 5 173.196 44.0962
6348 89 4 7 5 5347.23 35.9665
7574 89 4 7 5 1545.57 0.799439
4957 89 4 7 5 9811.48 0.23989
7433 89 4 7 5 4.41333 35.7171
7541 89 4 7 5 202.522 39.6097
2160 89 4 7 5 2448.88 39.794
9374 89 4 7 5 130.872 37.3387
6773 89 4 7 5 3916.23 0.570636
3912 89 4 7 5 85.6435 42.4646
2516 89 4 7 5 708.238 36.8413
3108 89 4 7 5 295.897 39.0852
1749 89 4 7 5 54951.6 0.335877
4428 89 4 7 5 286.893 38.9339
6183 89 4 7 5 1860.1 0.454387
545 89 4 7 5 8554.56 1.099
1816 89 4 7 5 4676.64 1.07128
8293 89 4 7 5 19029.3 40.3741
4051 89 4 7 5 8967.84 39.9817
1320 89 4 7 5 29364 1.60591
3685 89 4 7 5 4056.14 1.73992
