Seed  np arch1 chi2/dat duration
6864 40 13 856067 55.9281
2386 40 13 13.7007 79.2442
9867 40 13 0.971124 82.9606
7032 40 13 0.972942 81.704
8779 40 13 436.369 71.7923
2977 40 13 0.964001 82.25
5024 40 13 0.975619 78.2697
1799 40 13 109456 0.407825
6070 40 13 0.960039 79.1429
4890 40 13 0.966455 76.75
9256 40 13 0.975696 84.8923
17 40 13 78065.9 0.87807
4894 40 13 539652 10.109
4456 40 13 1.71784e+07 0.293077
8537 40 13 1.27142e+06 0.392079
5659 40 13 172502 0.300605
7132 40 13 0.975265 85.4407
2123 40 13 1.68837e+06 54.6674
6861 40 13 770402 2.46724
9667 40 13 0.960947 84.559
5015 40 13 378.319 120.257
1170 40 13 1.09393 83.5124
3908 40 13 0.975401 84.0567
4590 40 13 41761.9 0.302086
3127 40 13 0.957901 83.8128
9781 40 13 218577 0.382147
6373 40 13 74668.1 0.300912
444 40 13 357682 0.392249
5168 40 13 279293 16.0535
4099 40 13 1.37527 81.9575
4907 40 13 0.969493 84.9527
1894 40 13 15558.1 0.309922
8527 40 13 20281.9 72.1801
879 40 13 0.963153 84.8047
6493 40 13 0.978856 85.6561
273 40 13 3.12438e+06 0.274669
8459 40 13 2.93443e+08 0.299567
5479 40 13 0.970586 84.5459
2258 40 13 191426 0.497935
1129 40 13 2.43528e+06 38.7117
2906 40 13 811276 0.266933
5359 40 13 296082 63.0926
7142 40 13 0.968194 82.7612
893 40 13 267121 0.273618
1702 40 13 4.67058 84.7098
2367 40 13 2.62154 84.0468
7628 40 13 831865 0.388821
7654 40 13 238621 0.778296
1167 40 13 0.962398 81.7398
8241 40 13 0.971884 82.7838
8678 40 13 1.09055 71.64
