Seed  np arch1 chi2/dat duration
7355 91 30 551413 0.736997
2008 91 30 9802.15 0.772429
1450 91 30 8.33464e+06 0.998738
7079 91 30 961550 0.991939
2538 91 30 4304.99 187.95
5624 91 30 40877.6 1.49206
6429 91 30 525.385 224.968
1145 91 30 299034 0.9572
3467 91 30 1.01242 172.842
9709 91 30 148853 0.726192
2479 91 30 288890 19.5882
6841 91 30 0.950954 194.356
2755 91 30 358657 0.732802
7147 91 30 1.28499e+07 0.720661
96 91 30 2.46644e+06 106.044
3752 91 30 1.46504e+06 0.758278
3045 91 30 329021 0.77381
547 91 30 3.78766e+06 107.936
6157 91 30 6.83737e+06 0.760915
8957 91 30 1.27799e+07 199.64
7061 91 30 6153.16 123.526
4949 91 30 169578 0.756023
8778 91 30 8.32637e+06 0.720835
5375 91 30 1777.96 181.24
5660 91 30 564062 128.937
1781 91 30 0.96678 171.799
2815 91 30 60523.5 81.6639
5458 91 30 215448 0.735047
4091 91 30 0.951314 207.335
5441 91 30 0.957271 210.67
77 91 30 55532.7 86.6834
1064 91 30 392253 169.043
4667 91 30 1.49518e+09 0.717508
2496 91 30 934308 48.0038
7913 91 30 6.87492e+06 1.20448
3408 91 30 757190 1.49122
8185 91 30 2.50357e+06 0.751291
9172 91 30 58461 158.313
2243 91 30 586287 0.975568
6003 91 30 142673 1.01336
8454 91 30 10104.2 104.733
7903 91 30 4236.89 220.821
4468 91 30 302.028 219.254
8984 91 30 62.7825 189.358
56 91 30 1.83394e+06 1.00129
918 91 30 611.733 194.273
7291 91 30 17200.9 140.272
3360 91 30 1.88912 205.062
5964 91 30 495591 0.743381
3796 91 30 5180.81 225.202
1918 91 30 1.00928e+06 44.2009
