1418338037	5000	321.208	1.21101e-05	118.096
1420338070	5000	1516.18	3.71753e-05	106.786
1422153226	5000	252.86	0.000115678	126.663
1424287715	5000	2568.44	0.000275248	123.908
1426388590	5000	230.81	8.51556e-06	122.943
1428472658	5000	591.623	8.82034e-06	122.118
1430539919	5000	853.653	0.0024711	124.923
1432657601	5000	1938.3	1.35412e-05	125.548
1434775283	5000	200.18	9.04131e-06	124.248
1436892965	5000	748.128	0.000122819	127.757
1439061068	5000	238.981	0.00204004	137.51
1441380434	5000	698.436	0.000141755	126.453
1443531730	5000	203.716	6.39235e-06	126.276
