Seed  np arch1 chi2/dat duration
730 94 31 6.86654 25.3388
8971 94 31 12.8064 27.1243
4670 94 31 1.1158 24.888
5457 94 31 0.965124 26.8203
2619 94 31 0.961016 25.4845
2153 94 31 0.958936 28.7472
655 94 31 0.940014 29.8143
4772 94 31 0.952379 27.4121
7580 94 31 93.314 25.5081
9518 94 31 0.932659 27.7227
6194 94 31 0.947615 26.354
9869 94 31 0.967251 28.4985
6070 94 31 1.41749 27.3871
5002 94 31 2.00789 25.7068
5366 94 31 0.992548 25.9227
5412 94 31 0.97031 28.5235
7157 94 31 0.98141 29.0736
850 94 31 8.44858 28.8014
714 94 31 0.950493 27.6913
4496 94 31 15.5073 27.8598
149 94 31 1.3981 26.5541
7932 94 31 5.18555 26.4537
4450 94 31 1.05784 28.3625
415 94 31 0.971593 26.1948
5140 94 31 0.925569 26.6626
7376 94 31 14.5885 28.2908
5849 94 31 0.963219 27.7589
9736 94 31 0.961455 26.3119
9134 94 31 0.946414 28.7347
6641 94 31 1.08659 24.1268
378 94 31 0.973615 25.502
893 94 31 1.1786 25.2292
9189 94 31 0.972861 28.3347
680 94 31 1.27382 27.6033
1786 94 31 1.02334 28.892
3100 94 31 5.50365 27.1019
605 94 31 1.43514 25.3102
7332 94 31 52.3626 29.5114
3276 94 31 43.4431 27.9876
3200 94 31 1.09928 28.2321
1493 94 31 0.936574 25.7736
490 94 31 0.958804 26.2645
4655 94 31 0.941135 28.6918
7152 94 31 0.955002 27.8885
8477 94 31 34.5616 26.3851
9559 94 31 27.5166 26.3014
6865 94 31 41.3118 25.3295
948 94 31 0.957859 28.414
1653 94 31 0.954991 27.8106
643 94 31 0.93864 28.5021
9732 94 31 1.03393 28.672
