Seed  np arch1 chi2/dat duration
9394 91 30 1.52278 28.284
8471 91 30 108.714 25.2939
509 91 30 0.948106 26.4941
7666 91 30 0.966709 25.2197
1959 91 30 119.194 26.8574
1287 91 30 0.965637 28.3078
1084 91 30 13.0507 27.7312
631 91 30 7.2212 28.0186
4930 91 30 1.05286 25.9607
1260 91 30 1.7776 29.1843
2886 91 30 0.980091 27.181
1516 91 30 0.966494 25.8775
5653 91 30 0.961297 28.0725
4705 91 30 0.962884 24.9653
7066 91 30 0.990743 26.1533
3293 91 30 1.0355 25.7206
7784 91 30 0.961263 27.7542
9986 91 30 0.971566 28.6647
903 91 30 0.976578 26.6463
9093 91 30 30.2971 25.7721
9270 91 30 0.967105 26.2167
2250 91 30 0.970967 28.3317
9781 91 30 0.961036 28.7129
5576 91 30 0.992397 28.6026
4309 91 30 1.81205 28.4119
2073 91 30 14.6273 27.8081
5313 91 30 0.957106 28.885
1495 91 30 70.4551 28.5102
6270 91 30 0.959234 28.899
4730 91 30 0.943239 28.203
7900 91 30 0.962654 28.0613
6720 91 30 0.943582 27.1272
1216 91 30 3402.47 28.7477
2925 91 30 1.40881 28.0749
6542 91 30 0.976223 28.9249
7672 91 30 4.54146 26.1215
5674 91 30 103.29 26.0859
3815 91 30 0.947842 28.1255
8066 91 30 53.5741 25.3523
5119 91 30 276.793 25.583
2730 91 30 3.71503 26.6449
619 91 30 0.940966 25.7948
3899 91 30 0.975838 28.7579
3835 91 30 0.946399 29.0609
661 91 30 14.9806 28.2062
3168 91 30 1.11089 24.9008
3025 91 30 0.97114 28.1367
9376 91 30 14.3764 26.2112
526 91 30 1.32225 28.5989
3106 91 30 0.979282 28.3915
1295 91 30 0.96942 28.7581
