Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
1808 164 9 7 5 5 7.19554e+06 0.264466
7039 164 9 7 5 5 7488.55 0.177036
9496 164 9 7 5 5 93967.4 0.181898
2144 164 9 7 5 5 8979.15 0.178284
802 164 9 7 5 5 12181.5 0.177734
5737 164 9 7 5 5 1017.38 0.178306
6042 164 9 7 5 5 1973.52 0.175298
6608 164 9 7 5 5 386.076 2.81947
4089 164 9 7 5 5 108585 0.176374
3233 164 9 7 5 5 21151.8 0.176006
3815 164 9 7 5 5 217854 0.261799
929 164 9 7 5 5 108179 0.176743
9107 164 9 7 5 5 3735 0.173768
3713 164 9 7 5 5 92693.5 0.184805
9316 164 9 7 5 5 616421 0.17664
3831 164 9 7 5 5 4.65997e+06 0.176735
7963 164 9 7 5 5 2.38865e+06 0.17733
1912 164 9 7 5 5 5.40469e+06 0.17643
6772 164 9 7 5 5 21920.1 0.174127
2625 164 9 7 5 5 94733.3 0.262171
5174 164 9 7 5 5 576.952 0.191964
3614 164 9 7 5 5 54925.3 0.181637
2184 164 9 7 5 5 379691 0.1755
6636 164 9 7 5 5 32268.3 0.174979
9538 164 9 7 5 5 3697.86 0.17613
4668 164 9 7 5 5 216.103 0.180891
9922 164 9 7 5 5 22440.1 0.175622
1424 164 9 7 5 5 1945.98 0.17467
4415 164 9 7 5 5 586.929 0.277484
8247 164 9 7 5 5 43408 0.17877
6943 164 9 7 5 5 1.00089e+06 0.178157
645 164 9 7 5 5 2352.23 0.269923
8469 164 9 7 5 5 124.955 0.176114
1569 164 9 7 5 5 461205 0.174138
1408 164 9 7 5 5 3562.43 0.177327
1430 164 9 7 5 5 3.70423 62.421
793 164 9 7 5 5 1909.65 0.176082
9676 164 9 7 5 5 65055.8 0.177429
6571 164 9 7 5 5 3810.59 83.5543
235 164 9 7 5 5 71.3802 69.7809
2989 164 9 7 5 5 75348.1 0.186533
6215 164 9 7 5 5 14291.3 0.175184
3323 164 9 7 5 5 140390 0.176799
3170 164 9 7 5 5 1.33974e+06 0.175913
1365 164 9 7 5 5 801488 0.17673
5214 164 9 7 5 5 10229.9 0.176776
6584 164 9 7 5 5 332827 0.179669
5677 164 9 7 5 5 1591.63 0.184596
3333 164 9 7 5 5 4576.6 0.270736
5899 164 9 7 5 5 949214 0.175248
619 164 9 7 5 5 2776.07 0.179917
