Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
5901 135 4 6 8 4 13938.3 0.14363
2505 135 4 6 8 4 94265.4 0.213374
8621 135 4 6 8 4 810.91 0.229259
959 135 4 6 8 4 8334.58 0.146087
1433 135 4 6 8 4 1.35807e+06 0.217003
4425 135 4 6 8 4 7357.71 0.145288
1443 135 4 6 8 4 2.76602e+06 0.213388
7114 135 4 6 8 4 216451 0.144849
1403 135 4 6 8 4 15318.6 0.228304
739 135 4 6 8 4 9882.68 0.152876
6776 135 4 6 8 4 2114.07 0.142923
2046 135 4 6 8 4 2.52416e+06 0.144251
4380 135 4 6 8 4 8844.66 0.146172
2937 135 4 6 8 4 2347.4 0.150349
2787 135 4 6 8 4 7059.79 0.149281
131 135 4 6 8 4 44600.2 0.145371
3990 135 4 6 8 4 101575 0.152898
5699 135 4 6 8 4 6799.65 0.22652
3554 135 4 6 8 4 10097.5 0.144606
2380 135 4 6 8 4 9973.19 0.145363
6864 135 4 6 8 4 3.10114e+06 0.213176
7251 135 4 6 8 4 440.217 0.14554
2891 135 4 6 8 4 7107.49 0.148428
7879 135 4 6 8 4 271969 0.21395
7995 135 4 6 8 4 15547.3 0.226966
8284 135 4 6 8 4 2322.91 0.149334
2172 135 4 6 8 4 690172 0.14587
2955 135 4 6 8 4 916.533 2.25054
800 135 4 6 8 4 3592.04 0.146045
8555 135 4 6 8 4 5.42901e+07 0.215843
6084 135 4 6 8 4 26645.2 0.213389
6901 135 4 6 8 4 969.067 2.33389
7188 135 4 6 8 4 24958.2 0.143497
2412 135 4 6 8 4 50199.4 0.144683
3025 135 4 6 8 4 7976.2 0.212797
4014 135 4 6 8 4 633.712 0.159731
2951 135 4 6 8 4 34413.6 0.144401
2210 135 4 6 8 4 551281 0.21372
2752 135 4 6 8 4 4689.31 0.143793
483 135 4 6 8 4 2743.18 0.152736
6874 135 4 6 8 4 18819.8 0.144546
7990 135 4 6 8 4 295.54 5.307
7956 135 4 6 8 4 5835.47 10.9679
7822 135 4 6 8 4 391843 0.144534
4310 135 4 6 8 4 48995.3 0.144954
6264 135 4 6 8 4 101973 0.145402
5367 135 4 6 8 4 947.35 0.146426
5705 135 4 6 8 4 5543.72 0.146174
1513 135 4 6 8 4 5232.75 0.145594
404 135 4 6 8 4 4365.53 0.227318
7314 135 4 6 8 4 24794.4 0.144743
