Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
900 121 5 7 4 6 43608.6 0.129076
3191 121 5 7 4 6 3.08819e+06 0.131039
5245 121 5 7 4 6 17438.7 0.13053
5251 121 5 7 4 6 86077.4 0.13128
6183 121 5 7 4 6 97.5246 6.96195
5 121 5 7 4 6 19962.3 0.13127
5256 121 5 7 4 6 57417.4 0.196219
5544 121 5 7 4 6 14482.6 0.132541
3102 121 5 7 4 6 509.851 0.130333
887 121 5 7 4 6 41517.3 0.131819
1630 121 5 7 4 6 171403 0.13132
364 121 5 7 4 6 1260.44 0.137326
8445 121 5 7 4 6 521.538 53.626
1225 121 5 7 4 6 113456 0.132268
5387 121 5 7 4 6 8997.02 0.12995
2471 121 5 7 4 6 18903.5 0.130852
7017 121 5 7 4 6 7873.86 0.130394
4905 121 5 7 4 6 173.759 0.925536
5847 121 5 7 4 6 7499.79 0.13344
9591 121 5 7 4 6 865317 2.3601
1726 121 5 7 4 6 1423.29 6.14834
7517 121 5 7 4 6 134737 0.130581
6860 121 5 7 4 6 5718.66 0.135097
7932 121 5 7 4 6 1.46448e+06 0.195304
9716 121 5 7 4 6 206.117 0.207449
9435 121 5 7 4 6 80074.6 0.12853
2567 121 5 7 4 6 792.962 0.199266
8170 121 5 7 4 6 8917.85 0.138461
9718 121 5 7 4 6 11724 0.128567
2932 121 5 7 4 6 29593.1 0.200276
1736 121 5 7 4 6 10063.3 0.132834
5031 121 5 7 4 6 328315 0.130109
5413 121 5 7 4 6 350.053 0.137171
7776 121 5 7 4 6 4927.63 0.199121
6751 121 5 7 4 6 264491 0.193753
2783 121 5 7 4 6 10514.9 0.205581
3397 121 5 7 4 6 51700.3 0.128334
7253 121 5 7 4 6 956.479 0.202442
2068 121 5 7 4 6 484365 0.131198
6293 121 5 7 4 6 53827.7 0.140726
9577 121 5 7 4 6 83088.8 0.128844
5475 121 5 7 4 6 9451.88 0.132421
797 121 5 7 4 6 11176.7 0.131863
8366 121 5 7 4 6 80849.5 0.203326
1031 121 5 7 4 6 33682.3 0.128342
2380 121 5 7 4 6 25057.4 0.12961
7959 121 5 7 4 6 195448 0.131963
1844 121 5 7 4 6 57913.6 0.194147
8491 121 5 7 4 6 414.98 0.130643
5956 121 5 7 4 6 151.52 1.06102
5037 121 5 7 4 6 360821 0.130431
