Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
3225 181 9 7 7 4 4894.59 0.199542
7118 181 9 7 7 4 32643.8 0.198325
2113 181 9 7 7 4 22388.5 0.199958
7378 181 9 7 7 4 44611.3 0.199006
4898 181 9 7 7 4 71704.1 0.199646
6841 181 9 7 7 4 35168.7 0.205429
2911 181 9 7 7 4 23803.1 0.212676
9965 181 9 7 7 4 220.127 0.20979
9419 181 9 7 7 4 8958.62 0.198254
1205 181 9 7 7 4 5421.1 0.195877
9947 181 9 7 7 4 98889.6 0.198846
9124 181 9 7 7 4 3378.79 0.200189
7615 181 9 7 7 4 215455 0.201207
5401 181 9 7 7 4 16919.5 0.200962
3727 181 9 7 7 4 9786.59 0.198759
5710 181 9 7 7 4 787487 0.197781
3749 181 9 7 7 4 198042 0.308302
7142 181 9 7 7 4 10560.8 0.209259
2263 181 9 7 7 4 3167.22 0.20608
3360 181 9 7 7 4 519542 0.200983
3712 181 9 7 7 4 47081.7 0.196439
31 181 9 7 7 4 242254 0.197742
2552 181 9 7 7 4 3236.66 0.311002
4131 181 9 7 7 4 1590.59 0.2952
4514 181 9 7 7 4 23530.3 0.196394
278 181 9 7 7 4 47430.7 0.199614
2343 181 9 7 7 4 1974.05 0.196025
4552 181 9 7 7 4 12168.5 0.196976
4262 181 9 7 7 4 325424 0.199341
4154 181 9 7 7 4 311473 0.199732
5595 181 9 7 7 4 597098 0.201417
1389 181 9 7 7 4 245797 0.19609
115 181 9 7 7 4 983.52 0.31757
4268 181 9 7 7 4 1529.43 0.199818
1319 181 9 7 7 4 3.49412e+06 0.202891
2484 181 9 7 7 4 5675.72 0.334291
3372 181 9 7 7 4 6614.14 0.201378
2002 181 9 7 7 4 3289.44 0.207609
1470 181 9 7 7 4 3.11685e+07 0.294623
3632 181 9 7 7 4 8816.61 0.198329
1279 181 9 7 7 4 129010 0.199369
5376 181 9 7 7 4 1689.54 0.200426
422 181 9 7 7 4 29651.1 9.00876
988 181 9 7 7 4 5790.48 0.213009
5367 181 9 7 7 4 686.672 0.196961
8216 181 9 7 7 4 154159 0.295068
3798 181 9 7 7 4 247371 0.1991
1585 181 9 7 7 4 5988.37 0.197427
1538 181 9 7 7 4 44863.7 0.197395
9893 181 9 7 7 4 1.39901e+06 0.198613
9339 181 9 7 7 4 69595.2 0.201677
