Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
8433 121 5 4 6 7 36651.1 0.129065
736 121 5 4 6 7 8356.34 0.132635
9220 121 5 4 6 7 14404.1 0.140529
1776 121 5 4 6 7 14746.9 0.130368
574 121 5 4 6 7 218.345 63.3199
2817 121 5 4 6 7 10024.5 0.130317
652 121 5 4 6 7 9933.69 0.130988
4260 121 5 4 6 7 2329.33 0.204962
1225 121 5 4 6 7 28533.6 0.13527
1720 121 5 4 6 7 84.8403 0.733366
6642 121 5 4 6 7 25583.8 0.129182
702 121 5 4 6 7 2.49171e+08 0.193942
8697 121 5 4 6 7 949402 0.130686
8081 121 5 4 6 7 2757.63 0.131145
9171 121 5 4 6 7 2392.26 0.214491
7892 121 5 4 6 7 24999.1 0.131
2818 121 5 4 6 7 11958.2 0.130758
8429 121 5 4 6 7 3831.49 0.133627
8799 121 5 4 6 7 25205.4 0.129255
1654 121 5 4 6 7 11361.1 0.129659
8840 121 5 4 6 7 601.139 0.130031
6610 121 5 4 6 7 568.386 0.131872
5196 121 5 4 6 7 17669.4 0.131897
314 121 5 4 6 7 211676 0.130145
768 121 5 4 6 7 4929.9 0.205578
1305 121 5 4 6 7 627.735 0.130759
3692 121 5 4 6 7 11091.4 0.131012
4163 121 5 4 6 7 32977.8 0.202226
3358 121 5 4 6 7 20671.3 0.131075
1710 121 5 4 6 7 9574.94 0.210407
3789 121 5 4 6 7 251034 0.131319
8301 121 5 4 6 7 3.48648e+06 0.131192
9872 121 5 4 6 7 62950 0.13045
3076 121 5 4 6 7 18774.7 0.199884
2140 121 5 4 6 7 9164.19 0.131783
4260 121 5 4 6 7 2329.33 0.204522
3906 121 5 4 6 7 151.334 44.1894
9865 121 5 4 6 7 1785.2 0.207551
772 121 5 4 6 7 651.336 0.140867
2633 121 5 4 6 7 2060.68 61.9611
2155 121 5 4 6 7 5730.4 0.130085
7688 121 5 4 6 7 367698 0.193515
5318 121 5 4 6 7 472.436 0.216824
1941 121 5 4 6 7 24898.5 0.131269
4477 121 5 4 6 7 443732 0.131589
2330 121 5 4 6 7 1973.75 2.51218
1749 121 5 4 6 7 288284 0.138682
2298 121 5 4 6 7 23649.4 0.249712
2459 121 5 4 6 7 1.98258e+06 0.131174
6533 121 5 4 6 7 88992.1 0.132996
2427 121 5 4 6 7 110.688 8.96117
