Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
2377 203 10 8 5 7 7244.13 0.224311
8508 203 10 8 5 7 1611.99 0.356175
1230 203 10 8 5 7 1137.24 0.330663
1250 203 10 8 5 7 509.14 5.04782
9615 203 10 8 5 7 312306 0.346921
1379 203 10 8 5 7 1126.45 0.225022
2160 203 10 8 5 7 28641.6 0.219726
6198 203 10 8 5 7 28748.7 0.226655
2580 203 10 8 5 7 23566.3 0.221841
3887 203 10 8 5 7 137333 0.225085
8229 203 10 8 5 7 139094 0.330348
7012 203 10 8 5 7 23105.3 0.220327
4834 203 10 8 5 7 40539.7 0.222363
2364 203 10 8 5 7 293.771 15.2222
471 203 10 8 5 7 15385.5 0.226251
119 203 10 8 5 7 1303.31 2.05218
7174 203 10 8 5 7 7566.28 0.225277
2766 203 10 8 5 7 17023.6 0.224918
6867 203 10 8 5 7 4092.07 0.224
5553 203 10 8 5 7 45554.5 0.221611
8599 203 10 8 5 7 69134.3 2.60169
6110 203 10 8 5 7 554422 0.221081
5027 203 10 8 5 7 4.24924e+07 0.22025
9592 203 10 8 5 7 33462.5 0.223312
2414 203 10 8 5 7 39906.8 0.35509
301 203 10 8 5 7 2346.83 0.234415
6602 203 10 8 5 7 282305 0.224194
1444 203 10 8 5 7 88673.1 0.340752
1811 203 10 8 5 7 15509.2 0.229132
7470 203 10 8 5 7 68325.7 0.221648
4647 203 10 8 5 7 3.35355e+06 0.225516
4181 203 10 8 5 7 1.18866e+06 0.22354
3488 203 10 8 5 7 30407.5 0.223847
5613 203 10 8 5 7 1583.54 3.07497
9362 203 10 8 5 7 17597.2 2.54261
1503 203 10 8 5 7 26309.6 0.347098
476 203 10 8 5 7 21211.7 0.226008
7285 203 10 8 5 7 270363 0.223748
2458 203 10 8 5 7 1673.9 0.336667
1006 203 10 8 5 7 18908.4 0.22589
7056 203 10 8 5 7 13325.2 1.59429
1414 203 10 8 5 7 31346.1 0.220366
4667 203 10 8 5 7 9880.41 0.223941
1767 203 10 8 5 7 71281.7 0.343158
5825 203 10 8 5 7 6.03349e+06 0.336406
1673 203 10 8 5 7 624885 0.331361
7795 203 10 8 5 7 15631.9 0.222393
7516 203 10 8 5 7 4462.4 0.247252
4230 203 10 8 5 7 173215 0.227536
5084 203 10 8 5 7 55365.4 0.222461
2433 203 10 8 5 7 3.18198e+06 0.222002
