Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
9282 163 7 4 7 9 894.844 0.18224
370 163 7 4 7 9 182483 0.186075
551 163 7 4 7 9 45799.5 0.179782
3064 163 7 4 7 9 8944.76 4.47605
4287 163 7 4 7 9 1.86819e+07 0.178159
2061 163 7 4 7 9 4833.08 0.186555
6722 163 7 4 7 9 411655 0.271631
342 163 7 4 7 9 2838.99 0.183315
5612 163 7 4 7 9 67275.6 0.646677
1706 163 7 4 7 9 6703.69 0.279249
2598 163 7 4 7 9 21405.7 0.175368
2542 163 7 4 7 9 602804 0.176964
8232 163 7 4 7 9 41297.6 0.28505
9677 163 7 4 7 9 1408.43 5.53318
2631 163 7 4 7 9 17775.7 0.190091
6187 163 7 4 7 9 34752.5 0.26193
1629 163 7 4 7 9 10802.6 0.176161
2391 163 7 4 7 9 15025.5 0.175637
8623 163 7 4 7 9 37.7507 83.8764
2331 163 7 4 7 9 75498.4 0.261445
6531 163 7 4 7 9 37415.5 0.178152
4266 163 7 4 7 9 9216.36 0.175491
991 163 7 4 7 9 5403.57 0.177178
7076 163 7 4 7 9 27015 0.176472
8866 163 7 4 7 9 2.17668e+06 4.22878
7081 163 7 4 7 9 2584.71 0.187455
4752 163 7 4 7 9 32605.9 1.09769
666 163 7 4 7 9 161994 0.278061
9692 163 7 4 7 9 1.60173e+06 0.176471
1785 163 7 4 7 9 6.24739 65.1572
4694 163 7 4 7 9 9757.71 0.177701
1072 163 7 4 7 9 612.433 0.263333
5214 163 7 4 7 9 9104.75 0.178147
1301 163 7 4 7 9 12127.1 0.17627
3446 163 7 4 7 9 69.8698 69.5729
7944 163 7 4 7 9 165.987 65.5393
9584 163 7 4 7 9 10435.1 0.183286
452 163 7 4 7 9 1957.01 0.186427
1871 163 7 4 7 9 12887.5 0.178366
5413 163 7 4 7 9 1934.53 0.185743
9372 163 7 4 7 9 34372.2 0.178289
5514 163 7 4 7 9 20884.3 0.177365
602 163 7 4 7 9 2626.12 0.191372
7531 163 7 4 7 9 12291.3 0.174305
5176 163 7 4 7 9 4.1653e+06 0.177391
4963 163 7 4 7 9 84.6353 66.2184
5053 163 7 4 7 9 9542.57 0.175659
1882 163 7 4 7 9 9497.67 0.197384
1109 163 7 4 7 9 861596 0.176091
9407 163 7 4 7 9 83.8458 62.1957
1984 163 7 4 7 9 2891.3 0.174958
