Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
4744 135 6 4 6 8 24127.1 0.14567
2936 135 6 4 6 8 92772.5 0.14666
6763 135 6 4 6 8 126994 0.144872
4300 135 6 4 6 8 125515 0.143067
9773 135 6 4 6 8 2965.07 0.22713
5539 135 6 4 6 8 4.53333e+08 18.6001
9137 135 6 4 6 8 40640.5 0.143332
3788 135 6 4 6 8 75325.8 0.216094
277 135 6 4 6 8 536378 0.143624
8331 135 6 4 6 8 5022.5 0.146196
2215 135 6 4 6 8 1.53049e+06 0.145939
7961 135 6 4 6 8 128077 0.147775
5200 135 6 4 6 8 10156.1 0.218633
1248 135 6 4 6 8 36278.4 0.154452
9676 135 6 4 6 8 161695 0.221465
693 135 6 4 6 8 6845.44 0.146018
7894 135 6 4 6 8 9309.64 0.146716
7343 135 6 4 6 8 25151.9 0.143455
1812 135 6 4 6 8 28945.6 0.214598
9791 135 6 4 6 8 29737.1 0.146992
1589 135 6 4 6 8 9855.9 0.146009
4080 135 6 4 6 8 5426.91 0.155956
6167 135 6 4 6 8 5.52805e+06 0.145683
4433 135 6 4 6 8 2036.98 0.144229
8717 135 6 4 6 8 5248.97 0.148513
8434 135 6 4 6 8 1.00851e+08 0.215256
44 135 6 4 6 8 164883 0.224969
1104 135 6 4 6 8 117578 0.149832
2322 135 6 4 6 8 57893.9 0.145606
148 135 6 4 6 8 2.96209e+06 0.146668
1819 135 6 4 6 8 3499.74 0.144402
876 135 6 4 6 8 8295 0.146215
4093 135 6 4 6 8 428.284 67.0741
5737 135 6 4 6 8 15536.3 0.14707
3075 135 6 4 6 8 5.49549e+08 23.6564
1876 135 6 4 6 8 14112.6 0.146853
2934 135 6 4 6 8 275.721 0.143434
1668 135 6 4 6 8 116147 0.228235
6304 135 6 4 6 8 315378 0.214719
5127 135 6 4 6 8 18774.6 0.143769
2532 135 6 4 6 8 275910 42.9703
330 135 6 4 6 8 968.385 0.155868
632 135 6 4 6 8 217.832 60.636
6560 135 6 4 6 8 234248 0.144749
672 135 6 4 6 8 1.70929e+07 0.146935
443 135 6 4 6 8 88365.2 0.215068
2442 135 6 4 6 8 12674.8 0.214973
4952 135 6 4 6 8 9897.13 0.145966
7744 135 6 4 6 8 20.5474 48.5376
2578 135 6 4 6 8 6.28106e+06 1.53993
9876 135 6 4 6 8 20394.6 0.14517
