#x cv
0.594903 0.594186
0.591449 0.590785
0.588004 0.587396
0.58457 0.58402
0.581146 0.580654
0.577732 0.577301
0.57433 0.57396
0.57094 0.570631
0.567553 0.56731
0.564183 0.564003
0.560828 0.560709
0.55749 0.557429
0.554169 0.554163
0.550864 0.550909
0.547574 0.547668
0.5443 0.54444
0.54104 0.541223
0.537796 0.53802
0.534569 0.534827
0.531359 0.531648
0.528163 0.528479
0.524983 0.525322
0.521819 0.522177
0.518681 0.519056
0.515551 0.515938
0.512431 0.512827
0.50932 0.50972
0.50622 0.50662
0.503131 0.503527
0.500054 0.500442
0.496976 0.497355
0.493911 0.494277
0.490866 0.491216
0.48784 0.48817
0.484831 0.48514
0.481841 0.482125
0.478867 0.479124
0.475916 0.476143
0.472988 0.473182
0.470068 0.470229
0.467156 0.467285
0.464252 0.464351
0.461358 0.461428
0.458473 0.458515
0.455599 0.455614
0.452727 0.452718
0.449871 0.449838
0.447029 0.446972
0.444203 0.444123
0.441391 0.441288
0.438595 0.43847
0.435813 0.435666
0.433053 0.432893
0.430306 0.430131
0.42757 0.427379
0.424847 0.424637
0.422137 0.421907
0.41944 0.41919
0.416757 0.416487
0.414091 0.41378
0.41144 0.411088
0.408803 0.408426
0.40618 0.405795
0.403572 0.403191
0.400981 0.400616
0.398406 0.398067
0.395841 0.395555
0.393292 0.393071
0.390768 0.390603
0.38827 0.388152
0.385797 0.385717
0.383349 0.3833
0.380925 0.380902
0.378537 0.37852
0.376176 0.376157
0.37383 0.373814
0.371502 0.371493
0.369191 0.369193
0.366898 0.366915
0.364626 0.364659
0.362353 0.362421
0.360099 0.360204
0.357885 0.358015
0.355709 0.355852
0.353569 0.353716
0.351464 0.351605
0.349392 0.349519
0.347378 0.347464
0.345386 0.345433
0.343406 0.343423
0.341439 0.341436
0.339487 0.33947
0.337552 0.337528
0.335629 0.335606
0.333712 0.333705
0.331824 0.331829
0.329965 0.329979
0.328133 0.328154
0.326328 0.326354
0.32455 0.324579
0.322807 0.322835
0.321087 0.321113
0.319386 0.319412
0.317705 0.317731
0.316044 0.316071
0.314405 0.314433
0.312794 0.312819
0.311206 0.311228
0.309636 0.30966
0.308085 0.308114
0.306556 0.306592
0.30505 0.305095
0.303567 0.303629
0.302112 0.302189
0.300686 0.300773
0.299291 0.299382
0.29793 0.298019
0.296602 0.296685
0.295294 0.295378
0.294031 0.294106
0.292814 0.29287
0.291643 0.291672
0.290517 0.290513
0.289428 0.289378
0.288379 0.28828
0.287376 0.28724
0.286416 0.286252
0.285496 0.285315
0.284599 0.284408
0.283722 0.283527
0.282899 0.282712
0.282118 0.281951
0.281372 0.281232
0.280636 0.280535
0.279911 0.279854
0.279208 0.279194
0.278511 0.278539
0.277806 0.277873
0.277084 0.277183
0.276318 0.276448
0.275493 0.275653
0.274594 0.274783
0.273604 0.27383
0.272515 0.272772
0.271318 0.271582
0.269999 0.270251
0.268554 0.268773
0.26696 0.267133
0.265177 0.265309
0.2632 0.263295
0.261028 0.261088
0.258647 0.258675
0.256047 0.256049
0.253226 0.253204
0.25018 0.250141
0.246908 0.246849
0.243408 0.243325
0.239689 0.23958
0.235731 0.235596
0.231525 0.231366
0.227058 0.226881
0.222357 0.222164
0.217475 0.217263
0.212412 0.212178
0.207139 0.206886
0.201601 0.201337
0.195804 0.195537
0.189768 0.189509
0.183512 0.183275
0.177046 0.176842
0.170373 0.170217
0.163504 0.163408
0.156454 0.156427
0.149245 0.149281
0.141902 0.14199
0.134425 0.13456
0.126836 0.127012
0.119162 0.119371
0.111421 0.111649
0.103657 0.103897
0.0959 0.0961252
0.0882073 0.0883967
0.0805935 0.0807428
0.0731262 0.0732278
0.065833 0.065904
0.0587598 0.0588323
0.0520229 0.0520759
0.0456891 0.0456861
0.0397798 0.0397182
0.0343167 0.034204
0.0293015 0.029178
0.0247436 0.024645
0.0206559 0.0206121
0.0170218 0.0170596
0.0139031 0.0139701
0.0112622 0.0113085
0.00901744 0.00904207
0.00712495 0.00713102
0.00555191 0.00553704
0.00425424 0.00422188
1.12386 1.12533
1.11386 1.1151
1.10391 1.10495
1.09403 1.09489
1.08421 1.0849
1.07445 1.07499
1.06475 1.06516
1.05512 1.05541
1.04553 1.04572
1.03601 1.03612
1.02656 1.02659
1.01718 1.01714
1.00786 1.00776
0.998614 0.998464
0.989428 0.989237
0.98032 0.980097
0.971282 0.971034
0.962296 0.962028
0.95336 0.953079
0.944479 0.944188
0.93565 0.935354
0.926876 0.926579
0.918156 0.917861
0.909469 0.909182
0.90085 0.900573
0.892299 0.892034
0.883814 0.883561
0.875396 0.875157
0.867042 0.866818
0.858753 0.858544
0.85054 0.850349
0.842388 0.842214
0.834292 0.834135
0.82625 0.826111
0.818263 0.818142
0.810333 0.81023
0.802459 0.802372
0.794637 0.794566
0.786867 0.786812
0.779158 0.779119
0.771512 0.771487
0.763925 0.763916
0.7564 0.756404
0.748935 0.748953
0.741529 0.74156
0.734189 0.734234
0.726904 0.726962
0.719675 0.719744
0.712503 0.712581
0.705387 0.705471
0.698326 0.698415
0.691322 0.691414
0.684373 0.684465
0.677481 0.677573
0.670645 0.670736
0.663865 0.663955
0.657141 0.65723
0.650474 0.650561
0.643863 0.643948
0.637313 0.637392
0.63082 0.630891
0.624379 0.624447
0.617991 0.618058
0.611657 0.611725
0.605377 0.605448
0.599151 0.599227
0.592971 0.593059
0.586842 0.586946
0.580777 0.580891
0.574775 0.574894
0.568835 0.568954
0.562956 0.563072
0.557138 0.557247
0.551384 0.551479
0.54569 0.545767
0.54005 0.54011
0.534464 0.534508
0.52893 0.528959
0.523449 0.523464
0.518022 0.518024
0.51264 0.512634
0.50731 0.507296
0.502039 0.502016
0.496826 0.496791
0.491669 0.491621
0.486568 0.486505
0.481522 0.481444
0.476543 0.476441
0.471613 0.471489
0.466726 0.466586
0.461882 0.461733
0.457084 0.456928
0.452329 0.452172
0.447618 0.447464
0.442947 0.442802
0.438326 0.43819
0.433753 0.433629
0.429229 0.429118
0.424753 0.424655
0.420324 0.420242
0.415952 0.415883
0.411625 0.41157
0.407339 0.407301
0.403096 0.403076
0.398897 0.398896
0.394743 0.394762
0.390635 0.390675
0.386574 0.386633
0.382559 0.382637
0.37859 0.378686
0.374669 0.374781
0.370798 0.370923
0.366972 0.367115
0.363199 0.363355
0.359481 0.359643
0.355819 0.35598
0.352214 0.352367
0.348665 0.348805
0.345155 0.345281
0.341712 0.341818
0.338337 0.338417
0.335026 0.335078
0.331778 0.331798
