Seed  np arch1 arch2 chi2/dat duration
4377 32 5 3 1.62157e+07 0.306245
1499 32 5 3 14918.4 9.21336
1300 32 5 3 3996.42 0.354947
1009 32 5 3 6450.18 71.2162
3385 32 5 3 33743.1 0.209489
7039 32 5 3 43537.8 0.209919
4444 32 5 3 68.3342 89.3658
8227 32 5 3 1.26426e+06 0.339872
446 32 5 3 107.708 94.5717
1211 32 5 3 41193.8 0.223284
644 32 5 3 2.08042e+06 0.310018
959 32 5 3 266.436 97.9315
3028 32 5 3 151.07 84.9791
9722 32 5 3 1.15286e+06 0.326605
4474 32 5 3 2.43525e+09 0.312045
1748 32 5 3 10490.2 9.76929
4411 32 5 3 15807 12.7665
3393 32 5 3 267201 0.300654
8578 32 5 3 60.1446 84.2564
9321 32 5 3 3.96251e+06 0.319361
7952 32 5 3 5.03392e+06 0.304372
2764 32 5 3 43507 0.990568
1841 32 5 3 856577 0.326746
2343 32 5 3 0.9881 83.3838
433 32 5 3 26925.6 0.314919
7910 32 5 3 3.24149e+06 0.200367
6459 32 5 3 13406.3 0.34335
333 32 5 3 278800 0.301119
8779 32 5 3 3.61343e+06 0.302118
4322 32 5 3 316937 0.300622
4259 32 5 3 58677.1 0.300244
1895 32 5 3 4.40607e+06 0.335245
7047 32 5 3 115890 0.345764
8010 32 5 3 86335.9 0.300304
4661 32 5 3 33800.8 0.364439
7295 32 5 3 2005.04 5.58492
7383 32 5 3 282503 0.312303
920 32 5 3 3.97623e+06 0.305509
2282 32 5 3 7849.8 0.450872
8823 32 5 3 378106 9.52482
8669 32 5 3 33611.6 0.330372
6952 32 5 3 111404 0.353791
7680 32 5 3 319427 0.319209
2226 32 5 3 5.66948e+07 0.319396
4863 32 5 3 828.049 83.1197
1607 32 5 3 1.16678e+06 0.412507
2582 32 5 3 899398 0.30238
3812 32 5 3 100330 0.341429
3521 32 5 3 1.92808e+07 0.330273
8420 32 5 3 43309.6 2.25696
3789 32 5 3 514087 0.301574
