Seed  np arch1 chi2/dat duration
4420 22 7 2.42873 329.528
9271 22 7 143.861 31.375
7465 22 7 41.5402 255.628
8441 22 7 13.0935 330.286
3338 22 7 2.9277 312.253
8946 22 7 1.21834 322.582
7152 22 7 1.02938 324.866
1039 22 7 277.906 297.875
7827 22 7 44.6424 321.665
206 22 7 100.308 276.904
6263 22 7 5.6764 317.509
2585 22 7 4.91107 316.632
9301 22 7 28.2804 293.454
9047 22 7 22.0685 293.463
1015 22 7 10.7688 325.463
1865 22 7 1.68589 312.341
8627 22 7 104.655 292.586
275 22 7 11.0497 314.266
3899 22 7 425.852 286.685
3479 22 7 13.5748 310.848
6252 22 7 21.5809 327.148
2765 22 7 13.7584 319.045
1446 22 7 326.888 262.204
2248 22 7 42.4402 272.659
5707 22 7 87.8478 305.096
7569 22 7 2444.17 255.057
7396 22 7 77.094 295.083
9515 22 7 1.83615 320.851
40 22 7 0.982951 318.985
1043 22 7 83.9586 322.964
7459 22 7 20.161 321.731
5843 22 7 52.1178 281.489
7256 22 7 32.8137 318.74
7372 22 7 2047.32 293.954
6071 22 7 159.562 276.238
6669 22 7 551.184 261.211
8554 22 7 1.00128 331.097
3516 22 7 53.9431 323.908
1437 22 7 53.2685 330.678
9377 22 7 1.40992 313.436
2904 22 7 54.6529 291.586
6339 22 7 83.1013 330.617
730 22 7 231.197 271.344
2337 22 7 89.5331 283.233
6289 22 7 461.225 276.555
4068 22 7 159.693 263.885
1196 22 7 45.6306 620.686
984 22 7 285.252 295.951
6470 22 7 1097.66 260.722
1142 22 7 120.306 304.945
397 22 7 431.624 263.926
