Seed  np arch1 chi2/dat duration
9908 70 23 0.989584 990.314
720 70 23 0.971796 914.503
491 70 23 0.963722 1090.29
3201 70 23 0.963375 1064.22
2870 70 23 1.00924 896.478
2922 70 23 0.963331 928.171
2428 70 23 0.954151 1069.55
5029 70 23 0.958107 1023.56
9810 70 23 0.953035 1032.5
5204 70 23 0.97902 1087.83
8876 70 23 0.982328 906.542
5606 70 23 0.960965 1034.13
5783 70 23 59.6071 874.989
6428 70 23 18.6068 773.871
3490 70 23 0.95549 898.647
880 70 23 0.959058 1027.66
7579 70 23 0.95371 1019.13
51 70 23 0.972598 984.345
6832 70 23 0.966466 1015.93
7531 70 23 0.957453 1002.67
6499 70 23 0.964759 1048.74
9494 70 23 0.949693 886.971
5002 70 23 0.967927 1119.52
3732 70 23 29.0661 1087
5898 70 23 0.953755 1042.9
1667 70 23 3.32583 827.281
1594 70 23 1.12226 946.418
2813 70 23 0.960857 942.214
508 70 23 0.967335 1114.49
6199 70 23 0.956792 1083.74
7434 70 23 4.95606 811.522
2107 70 23 0.962105 992.137
7039 70 23 0.972264 1054.78
3215 70 23 1.03712 925.942
9494 70 23 0.949693 885.618
4299 70 23 11.8034 1050.37
1754 70 23 0.954828 1158.33
8604 70 23 1.72734 1015.04
3871 70 23 0.979591 917.586
5445 70 23 0.934934 987.541
1677 70 23 45.0872 905.663
2545 70 23 0.972766 921.973
1153 70 23 4401.53 813.862
876 70 23 1.03686 947.358
9572 70 23 0.957987 1101.56
5411 70 23 0.971385 1094.42
8087 70 23 0.968446 848.784
5675 70 23 1.02587 1027.51
2130 70 23 0.943867 897.228
1239 70 23 0.957927 1097.48
6546 70 23 159.134 1098.82
