Seed  np arch1 arch2 chi2/dat duration
9376 42 7 3 1.90198e+06 0.0447652
5619 42 7 3 603438 0.0607541
5642 42 7 3 130160 0.0485436
5085 42 7 3 9804.43 0.02963
6612 42 7 3 36374.5 0.0413994
8871 42 7 3 2850.64 0.0606447
7669 42 7 3 59.6462 13.1434
2404 42 7 3 17268.7 0.041196
1964 42 7 3 1.1467 10.9656
7489 42 7 3 2692.67 0.0286807
4965 42 7 3 37685.9 0.0417529
3917 42 7 3 67.9023 12.8354
3500 42 7 3 19081.4 0.0419326
6903 42 7 3 856508 0.0419001
3658 42 7 3 14742.8 0.0285746
8110 42 7 3 21908.6 0.048104
9072 42 7 3 8.20972e+07 0.0423005
4663 42 7 3 46587.2 0.0427952
1125 42 7 3 341536 0.0411602
1086 42 7 3 4061.07 0.0435725
5961 42 7 3 4733.93 0.0471971
2384 42 7 3 88858.4 0.0437769
1271 42 7 3 187794 0.0278617
1160 42 7 3 16.0586 10.6113
69 42 7 3 685.982 11.5325
3899 42 7 3 432.406 0.158
9081 42 7 3 110063 0.0433253
8240 42 7 3 77206.1 0.0459702
9502 42 7 3 522846 0.0429367
4599 42 7 3 1033.58 0.0811927
3806 42 7 3 14835 0.0570583
4686 42 7 3 1.34775e+06 0.0281724
244 42 7 3 1027.26 0.0457329
2578 42 7 3 471.978 9.5759
8411 42 7 3 374.985 1.23485
4630 42 7 3 441.206 10.4861
1655 42 7 3 4.94252 9.71716
8605 42 7 3 50904.6 0.0411624
5214 42 7 3 5721.83 0.0605066
3769 42 7 3 95042.3 0.0440165
7175 42 7 3 548792 0.0415279
210 42 7 3 3099.75 0.555594
9122 42 7 3 9569.81 0.0447032
2540 42 7 3 12474.8 4.40311
6087 42 7 3 17.3514 11.182
5767 42 7 3 16439.7 1.05584
4871 42 7 3 10233.5 0.0454591
7225 42 7 3 4470.01 0.0285393
5325 42 7 3 338926 0.0410256
2340 42 7 3 38.0318 10.4883
2541 42 7 3 11475.4 0.0411325
