Seed  np arch1 arch2 chi2/dat duration
2953 29 6 2 25591.5 0.0210207
236 29 6 2 27.7665 8.17533
1353 29 6 2 14894.8 0.0307205
180 29 6 2 14246.3 0.0307024
5721 29 6 2 824.982 0.0360882
2523 29 6 2 17146.6 0.0209083
9214 29 6 2 433309 0.0223675
507 29 6 2 1.4229e+06 1.91472
7542 29 6 2 1316.73 0.32395
6800 29 6 2 3.36793e+07 0.0312269
578 29 6 2 82.4056 0.164161
9488 29 6 2 513324 0.0318862
1942 29 6 2 12976.9 0.865899
1289 29 6 2 5761.1 0.0324861
3077 29 6 2 127543 0.0307565
7087 29 6 2 21529 0.0334645
1793 29 6 2 1142.43 0.0497793
6559 29 6 2 200303 1.83117
3128 29 6 2 578.782 2.63828
679 29 6 2 4.81852e+06 0.031873
2550 29 6 2 65335.9 0.0360458
439 29 6 2 798093 0.0335685
8823 29 6 2 53384.2 0.0212053
6039 29 6 2 47100.5 0.034146
9667 29 6 2 107851 0.0310539
3336 29 6 2 5.98709e+06 0.0211521
584 29 6 2 105300 0.0314955
1162 29 6 2 11.0286 8.53156
2870 29 6 2 1.48922e+06 0.0316994
2579 29 6 2 2367.97 2.11266
7527 29 6 2 10897.1 0.0339065
7001 29 6 2 2.39063e+06 0.0354093
5270 29 6 2 933932 0.0342131
4890 29 6 2 2449.13 0.037113
4 29 6 2 90111.6 0.0356475
5998 29 6 2 415106 0.0311422
955 29 6 2 1.54464e+07 0.0310718
4267 29 6 2 104922 0.0210611
1402 29 6 2 751.056 8.09276
3818 29 6 2 9028.47 0.0314912
2375 29 6 2 118181 0.0357008
3044 29 6 2 174.789 8.79124
7058 29 6 2 126905 0.0364198
3734 29 6 2 944953 0.0361902
5791 29 6 2 242393 0.0330274
4880 29 6 2 89.0542 8.06947
3821 29 6 2 5883.16 0.0325212
8884 29 6 2 29820 0.0312407
1043 29 6 2 37734.3 0.0312864
736 29 6 2 271.572 0.356811
9114 29 6 2 3901.23 0.0213855
