Seed  np arch1 arch2 chi2/dat duration
3316 37 6 3 912.079 29.3702
8502 37 6 3 4.79811 30.7743
1430 37 6 3 2.06959 32.7134
2457 37 6 3 1.02561 32.6402
1154 37 6 3 55.3712 26.0313
2217 37 6 3 186.932 26.2987
756 37 6 3 2481.52 0.658726
6862 37 6 3 4985.64 0.256829
3640 37 6 3 455.2 31.7373
3292 37 6 3 1911.4 27.7598
5002 37 6 3 3127.65 30.9126
4074 37 6 3 8095.11 0.222142
8230 37 6 3 1459.51 26.7914
7250 37 6 3 1283.9 0.71068
8879 37 6 3 201.677 23.9203
9186 37 6 3 19.3061 29.7871
1936 37 6 3 529.345 28.1006
646 37 6 3 856.617 30.0542
7151 37 6 3 48.9064 26.1735
3431 37 6 3 241.559 24.8762
3106 37 6 3 5886.44 0.260544
5595 37 6 3 13.5657 25.1535
559 37 6 3 689.788 26.4622
2605 37 6 3 45.0941 26.5887
2854 37 6 3 1.21273 28.9279
1894 37 6 3 678.312 30.4031
6487 37 6 3 1.06329 30.54
9967 37 6 3 59.876 29.3116
2494 37 6 3 222.765 26.1136
3266 37 6 3 661.27 0.260179
8592 37 6 3 723.245 0.342884
2051 37 6 3 0.983382 30.2593
6125 37 6 3 600.624 24.8023
2349 37 6 3 552.896 30.9854
3437 37 6 3 611.89 27.3436
2182 37 6 3 176.603 23.8007
3879 37 6 3 314.613 26.7903
7244 37 6 3 619.805 28.9573
8789 37 6 3 1088.29 25.655
9854 37 6 3 4056.22 1.26657
3328 37 6 3 199.348 26.6348
7280 37 6 3 340.747 25.9708
563 37 6 3 437.363 27.049
477 37 6 3 4.3813 28.5478
5452 37 6 3 2048.56 27.1481
1963 37 6 3 136.184 28.5036
5630 37 6 3 88.4896 27.0356
7236 37 6 3 2210.27 27.8569
6282 37 6 3 761.218 27.7611
6980 37 6 3 8783.21 0.524806
1372 37 6 3 6.50032 24.3868
