Seed  np arch1 arch2 chi2/dat duration
8895 25 5 2 16054.2 0.182742
1542 25 5 2 336.633 28.1335
2001 25 5 2 1594.95 28.9872
3526 25 5 2 1955.05 0.244207
4000 25 5 2 106.511 25.6804
351 25 5 2 9098.65 25.1753
5359 25 5 2 3637.73 0.554384
1976 25 5 2 1325.04 26.7506
2551 25 5 2 8620.7 0.369063
2196 25 5 2 778.366 26.5374
5523 25 5 2 53.1036 27.5978
1877 25 5 2 1121.22 1.57008
185 25 5 2 2113.93 28.2839
2778 25 5 2 2045.78 28.1086
5654 25 5 2 807.904 26.55
577 25 5 2 979.5 8.8794
6882 25 5 2 2050.44 26.7424
4417 25 5 2 73.4145 25.2304
6088 25 5 2 170.992 28.498
7807 25 5 2 189.429 26.216
390 25 5 2 3256.55 28.7626
701 25 5 2 254995 0.356954
8660 25 5 2 71.9297 26.9073
7837 25 5 2 888.8 25.0361
885 25 5 2 933.786 26.8304
4552 25 5 2 43395.3 0.195129
2569 25 5 2 4401.62 25.8278
7717 25 5 2 11.1542 25.9118
995 25 5 2 227.178 25.9425
3382 25 5 2 10636.5 0.418367
6782 25 5 2 15.6002 28.9723
5581 25 5 2 2416.55 1.98264
6343 25 5 2 1521.56 26.7548
6390 25 5 2 338.382 28.6652
2206 25 5 2 1105.55 25.8132
5023 25 5 2 3132.51 0.257925
7946 25 5 2 473.007 26.0383
4528 25 5 2 1306.43 0.241898
4652 25 5 2 1609.34 0.450616
1246 25 5 2 961.064 1.03727
3691 25 5 2 120.689 25.765
2933 25 5 2 2353.42 25.1491
6943 25 5 2 4973.85 26.1558
1486 25 5 2 548.002 26.0188
6200 25 5 2 12506.3 0.359453
6960 25 5 2 1338.84 25.1755
7275 25 5 2 451.751 27.7985
7222 25 5 2 1866.06 29.7457
4752 25 5 2 4621.16 0.463712
7448 25 5 2 4093.81 0.182918
8745 25 5 2 312.936 26.7483
