Seed  np arch1 chi2/dat duration
9122 97 32 13522 2.41534
1896 97 32 7.67798 20.5018
797 97 32 13996.1 14.3002
916 97 32 85553.2 0.0863004
7317 97 32 62876.4 0.112675
3172 97 32 1.32133e+06 11.612
2241 97 32 135575 0.108501
3461 97 32 1310.53 0.0851592
3338 97 32 2.1907e+07 0.0813322
4095 97 32 7.73878e+06 21.2441
4893 97 32 0.611612 23.5671
3611 97 32 8432.44 10.8265
3643 97 32 22576.4 0.0854422
3804 97 32 200184 0.0820321
5912 97 32 89.1119 20.4861
5730 97 32 16699.7 0.136158
3134 97 32 1612.43 0.112149
5968 97 32 104732 0.0854098
3237 97 32 25233.1 0.11269
5758 97 32 565984 0.113509
8037 97 32 1795.08 14.4214
6486 97 32 161273 0.173735
4748 97 32 0.429367 20.5502
1131 97 32 2.69082e+06 0.0796079
47 97 32 334317 18.6597
8479 97 32 228875 0.108301
8518 97 32 2950.39 15.8855
5304 97 32 371891 0.0813229
7690 97 32 38052.2 4.90012
547 97 32 346361 0.0862314
8276 97 32 3281.19 0.114733
1881 97 32 16.8886 24.648
2808 97 32 6779.22 0.0891028
4940 97 32 38401.5 3.78899
5801 97 32 8873.45 0.111019
2018 97 32 23661.1 0.0843725
3846 97 32 13.348 25.005
411 97 32 129363 0.0805105
5358 97 32 921003 0.0862412
3890 97 32 1210.36 10.8516
464 97 32 3.23765e+06 0.0818947
846 97 32 196217 0.0894055
7332 97 32 165417 0.0826788
4111 97 32 3149.07 0.142233
7587 97 32 1.40999e+06 0.112985
7747 97 32 205010 0.086707
4903 97 32 2744.04 0.0919704
9974 97 32 372603 0.0820212
4835 97 32 14754.2 0.113011
2905 97 32 3660.96 7.87289
3667 97 32 110818 0.0841934
