Seed  np arch1 arch2 chi2/dat duration
2812 81 10 5 2.69528 3.11594
2101 81 10 5 7.63213 3.60991
4093 81 10 5 4.28754 3.2918
987 81 10 5 12.3755 3.25883
9841 81 10 5 39.4199 0.0949674
6148 81 10 5 90.7721 3.44327
8413 81 10 5 20.7212 3.61104
505 81 10 5 145.512 3.74255
6930 81 10 5 24.1179 3.1441
584 81 10 5 0.611767 3.32137
644 81 10 5 102.963 3.80316
496 81 10 5 22.2094 3.21846
6819 81 10 5 266.882 3.44433
1356 81 10 5 40.0123 3.56341
9594 81 10 5 0.445163 3.45919
4563 81 10 5 364.785 0.221944
1168 81 10 5 17.2019 3.26992
8614 81 10 5 0.591537 3.40241
716 81 10 5 0.77309 3.30334
7044 81 10 5 496.452 3.48909
4360 81 10 5 60.7439 3.07349
957 81 10 5 0.667438 3.66491
7276 81 10 5 109.22 3.26173
7779 81 10 5 91.3934 3.37144
6812 81 10 5 283.507 0.0363106
3720 81 10 5 37.0849 3.26828
8264 81 10 5 1.0442 3.63828
1436 81 10 5 12.8381 3.7356
2549 81 10 5 64.0441 3.64392
1980 81 10 5 0.487476 3.2948
331 81 10 5 19.147 3.21373
8450 81 10 5 15.9731 3.36792
557 81 10 5 657.672 3.33667
8433 81 10 5 155.134 3.35358
4472 81 10 5 25.616 3.57312
4497 81 10 5 83.3033 3.36538
2126 81 10 5 35.4912 3.77841
7103 81 10 5 45.6411 3.32563
2417 81 10 5 594.866 0.855386
292 81 10 5 0.43175 3.25885
3016 81 10 5 48.2263 3.26344
2494 81 10 5 33.2844 3.43521
5975 81 10 5 282.018 0.0292582
8492 81 10 5 12.2583 3.33345
5100 81 10 5 3.45236 3.56366
1965 81 10 5 174.42 3.37723
5218 81 10 5 99.1846 3.18202
4635 81 10 5 317.161 0.0386468
8422 81 10 5 17.0267 3.1825
9422 81 10 5 6.33346 3.20185
8352 81 10 5 0.737428 3.24266
