Seed  np arch1 arch2 chi2/dat duration
1026 74 9 5 84.222 3.20669
5435 74 9 5 15.1408 3.47266
6503 74 9 5 35.6741 3.27231
5556 74 9 5 2.4587 3.34284
4794 74 9 5 3.14501 3.16313
1419 74 9 5 0.667337 3.00335
3376 74 9 5 7.45689 3.41698
884 74 9 5 131.243 0.0450138
4287 74 9 5 241.259 3.07406
6916 74 9 5 0.929415 3.02729
5063 74 9 5 151.503 3.07297
2338 74 9 5 367.467 3.12944
276 74 9 5 0.76034 3.15308
7050 74 9 5 718.778 2.97866
5511 74 9 5 27.461 3.00423
5212 74 9 5 11.3468 3.20286
1146 74 9 5 7.27573 3.16503
137 74 9 5 145.258 3.10826
2697 74 9 5 0.618568 3.00861
5587 74 9 5 2975.77 0.0612434
6513 74 9 5 191.383 2.9607
6805 74 9 5 14.5986 3.58887
621 74 9 5 53.6473 3.27824
6796 74 9 5 65.0314 3.31773
370 74 9 5 3460.28 3.08453
5021 74 9 5 1.45642 3.26352
2945 74 9 5 1.42242 3.00261
257 74 9 5 10.3064 3.15706
5558 74 9 5 0.579418 3.2864
9379 74 9 5 161.697 3.33884
1268 74 9 5 818.509 3.16295
2474 74 9 5 1.92984 3.12289
7363 74 9 5 1018.37 3.16636
4228 74 9 5 41.7833 3.54913
3640 74 9 5 40.1237 3.35564
9510 74 9 5 201.489 2.82057
7384 74 9 5 482.844 0.0826521
7456 74 9 5 24.2809 3.28206
3897 74 9 5 85.5985 2.94118
1383 74 9 5 31.9436 3.06952
6961 74 9 5 314.364 0.0262349
3237 74 9 5 0.634507 3.14701
288 74 9 5 204.771 3.10911
6193 74 9 5 204.683 0.0353231
3701 74 9 5 251.494 0.0351181
3106 74 9 5 292.804 3.31058
8095 74 9 5 3.79477 2.97345
6273 74 9 5 23.1151 3.08788
4390 74 9 5 35.2065 3.56743
1938 74 9 5 0.505573 3.57501
8376 74 9 5 21.5316 2.93736
