Seed  np arch1 arch2 arch3 chi2/dat duration
1112 89 4 8 4 406.681 0.0572238
553 89 4 8 4 0.463082 4.28749
3943 89 4 8 4 0.747425 4.71848
5478 89 4 8 4 168.081 0.0534965
1905 89 4 8 4 49.8369 4.62879
2430 89 4 8 4 20.6138 4.07911
4235 89 4 8 4 89.2722 0.0356177
9396 89 4 8 4 4555.09 0.0679129
485 89 4 8 4 2308.5 4.27526
8676 89 4 8 4 150.96 4.37946
1502 89 4 8 4 37.2393 4.22503
8118 89 4 8 4 4395.73 0.301372
4214 89 4 8 4 27.8886 4.04209
9388 89 4 8 4 292.232 0.0329198
3366 89 4 8 4 158.295 0.0384463
5300 89 4 8 4 45.6295 3.96149
9594 89 4 8 4 462.074 4.14814
1703 89 4 8 4 5.16932 4.01094
6692 89 4 8 4 110.58 4.84595
4842 89 4 8 4 396.966 0.235906
8519 89 4 8 4 21.7286 4.41413
3038 89 4 8 4 476.308 0.275877
6337 89 4 8 4 408.107 0.0917774
1665 89 4 8 4 2.06545 4.03283
25 89 4 8 4 99.053 3.83214
3334 89 4 8 4 6093.61 0.0310481
620 89 4 8 4 328.923 0.253116
7139 89 4 8 4 58.1276 4.37015
703 89 4 8 4 118.115 4.7564
7510 89 4 8 4 3.91686 4.32323
705 89 4 8 4 821.143 0.0521935
6762 89 4 8 4 2.30957 4.72925
9633 89 4 8 4 1033.62 0.175913
3255 89 4 8 4 510.236 4.25639
8701 89 4 8 4 24.6883 4.55207
7041 89 4 8 4 84.934 0.0535179
5504 89 4 8 4 246.978 5.80542
37 89 4 8 4 14366.5 4.67809
2388 89 4 8 4 32.9725 4.13387
6999 89 4 8 4 125.991 0.0449177
4893 89 4 8 4 76.4998 0.417167
374 89 4 8 4 33.8968 4.47896
2484 89 4 8 4 821.096 4.23586
8792 89 4 8 4 16.8252 4.18927
1627 89 4 8 4 172.122 0.0686746
5726 89 4 8 4 51.2348 0.0608517
9420 89 4 8 4 1033.75 4.51451
6576 89 4 8 4 71.9733 4.81468
7208 89 4 8 4 134.469 4.30427
3095 89 4 8 4 261.255 4.65496
1514 89 4 8 4 746.951 0.114285
