Seed  np arch1 arch2 arch3 chi2/dat duration
1733 125 10 5 7 277.451 0.102958
7140 125 10 5 7 78.836 0.798576
3982 125 10 5 7 64.6119 5.49232
8139 125 10 5 7 40.0036 5.5185
6821 125 10 5 7 132.913 0.0640473
521 125 10 5 7 235.407 0.11777
4532 125 10 5 7 217.23 5.18829
1065 125 10 5 7 74.0829 5.18379
9617 125 10 5 7 77.7336 5.51982
6765 125 10 5 7 38.6711 5.70583
2855 125 10 5 7 0.523285 5.42583
4917 125 10 5 7 223.538 5.29467
8308 125 10 5 7 24.418 4.88682
8670 125 10 5 7 50.1718 0.0792736
4716 125 10 5 7 323.988 0.0582553
9571 125 10 5 7 14.9583 5.47317
837 125 10 5 7 268.082 1.3945
6504 125 10 5 7 115.135 5.15143
6070 125 10 5 7 5.19185 4.94552
5850 125 10 5 7 7.68484 5.64651
1972 125 10 5 7 26.2303 5.49444
826 125 10 5 7 399.56 0.347476
8673 125 10 5 7 30.2772 4.88165
7151 125 10 5 7 170.56 0.0446546
2676 125 10 5 7 6.57797 5.28203
5460 125 10 5 7 3221.31 0.144938
5103 125 10 5 7 4.07594 5.59019
245 125 10 5 7 31.1797 5.06653
6576 125 10 5 7 156.154 0.114046
1991 125 10 5 7 0.4772 5.47861
9492 125 10 5 7 111.792 0.261768
2186 125 10 5 7 101.531 0.13366
4861 125 10 5 7 163.163 4.87247
4589 125 10 5 7 95.5292 0.123498
296 125 10 5 7 41.9156 5.25007
2239 125 10 5 7 299.589 0.211876
9784 125 10 5 7 1.07828 4.90591
2173 125 10 5 7 72.4104 5.09598
7029 125 10 5 7 365.85 5.15479
8038 125 10 5 7 314.969 0.0623182
2008 125 10 5 7 136.931 0.610826
976 125 10 5 7 36.6457 5.23764
759 125 10 5 7 126.926 5.17307
4834 125 10 5 7 132.036 4.73383
4376 125 10 5 7 566.049 0.14086
1606 125 10 5 7 30.2117 5.67438
8644 125 10 5 7 474.932 0.140151
3788 125 10 5 7 0.66194 5.43292
7304 125 10 5 7 1376.61 5.46019
5080 125 10 5 7 40.558 5.0717
5452 125 10 5 7 1490.9 5.03839
