Seed  np arch1 arch2 arch3 chi2/dat duration
7684 98 6 7 4 161.357 0.0596383
1683 98 6 7 4 2850.39 0.0472537
2920 98 6 7 4 201.808 4.46785
9428 98 6 7 4 174.041 4.64967
4017 98 6 7 4 187.275 5.08629
6895 98 6 7 4 12.9501 4.32429
4389 98 6 7 4 432.92 0.332508
6557 98 6 7 4 21.4697 4.39107
5335 98 6 7 4 56.8065 4.17443
8180 98 6 7 4 4.78221 4.57817
5303 98 6 7 4 222.843 0.269784
200 98 6 7 4 23.1743 4.64829
8510 98 6 7 4 4.17437 4.53441
926 98 6 7 4 681.049 0.127603
1279 98 6 7 4 719.634 0.0320491
8017 98 6 7 4 128.662 0.0645326
1614 98 6 7 4 33.2073 0.033766
2355 98 6 7 4 1943.41 0.145296
65 98 6 7 4 445.088 0.032124
3270 98 6 7 4 641.088 0.0807584
4829 98 6 7 4 84.6634 0.790863
2876 98 6 7 4 635.016 4.66493
8000 98 6 7 4 2.02917 4.42597
114 98 6 7 4 84.9696 0.278937
1215 98 6 7 4 153.129 0.5505
3223 98 6 7 4 21.6936 4.13388
6097 98 6 7 4 1443.49 0.0271085
7623 98 6 7 4 4.2907 4.54033
7804 98 6 7 4 65.141 0.203429
1383 98 6 7 4 36.1345 4.46531
1617 98 6 7 4 105.009 4.65926
7755 98 6 7 4 146.714 0.212311
2018 98 6 7 4 1.06051 4.33706
7154 98 6 7 4 65.4228 4.47948
1036 98 6 7 4 0.418255 4.74995
8232 98 6 7 4 56.3981 0.292806
6778 98 6 7 4 228.195 0.126699
3492 98 6 7 4 105.588 4.82191
7498 98 6 7 4 16.7788 4.69468
3756 98 6 7 4 170.471 0.360327
8522 98 6 7 4 34.8533 4.5359
1416 98 6 7 4 28.424 4.4276
3097 98 6 7 4 264.995 4.90514
2104 98 6 7 4 170.505 0.0426526
1849 98 6 7 4 65.6724 4.68113
9250 98 6 7 4 2.74094 4.08424
1570 98 6 7 4 57.3534 4.62149
1999 98 6 7 4 46.662 4.97103
6297 98 6 7 4 8460.07 0.259663
2819 98 6 7 4 186.671 0.286721
7336 98 6 7 4 96.0495 4.2572
