Seed  np arch1 arch2 arch3 chi2/dat duration
9241 111 7 6 6 10607.7 5.31393
9194 111 7 6 6 240.867 0.0696716
1590 111 7 6 6 102.483 0.153399
5842 111 7 6 6 1155.53 0.0465976
2767 111 7 6 6 0.484396 4.53808
7038 111 7 6 6 149.214 0.0667639
7198 111 7 6 6 5488.44 0.135547
9218 111 7 6 6 295.87 5.18052
2123 111 7 6 6 2325.06 0.0469483
6385 111 7 6 6 0.299357 5.09566
7533 111 7 6 6 0.504489 5.25062
2407 111 7 6 6 228.252 0.543138
3812 111 7 6 6 0.829238 5.15227
7441 111 7 6 6 29.3802 4.83229
4256 111 7 6 6 31.1084 4.49771
5427 111 7 6 6 107.375 5.01374
5211 111 7 6 6 5.53904 5.01346
6355 111 7 6 6 100.913 0.179177
6356 111 7 6 6 11.1401 4.55833
2927 111 7 6 6 12.9503 4.34321
8667 111 7 6 6 105.685 0.571961
6390 111 7 6 6 74.6918 5.33267
497 111 7 6 6 106.828 0.0805269
150 111 7 6 6 22.7422 4.95996
1964 111 7 6 6 15.6065 4.43517
8131 111 7 6 6 99.8148 5.07549
3102 111 7 6 6 34.9769 4.77892
3406 111 7 6 6 160.056 4.86326
6093 111 7 6 6 0.344577 5.32443
7612 111 7 6 6 3105.04 0.0342607
5500 111 7 6 6 83.5345 1.74209
5287 111 7 6 6 164.193 0.033975
4603 111 7 6 6 346.275 0.0291613
4337 111 7 6 6 0.561504 4.77568
7695 111 7 6 6 41.2044 4.54427
9544 111 7 6 6 299.772 0.114755
3066 111 7 6 6 476.724 5.36196
405 111 7 6 6 2084.67 0.124481
2614 111 7 6 6 2.75385 5.32031
1803 111 7 6 6 45.7093 4.62117
7201 111 7 6 6 47.9615 4.23612
5946 111 7 6 6 319.008 0.315106
9865 111 7 6 6 1.65713 4.92217
6808 111 7 6 6 238.131 4.65019
685 111 7 6 6 74.851 4.96427
4018 111 7 6 6 88.5016 5.01639
6219 111 7 6 6 145.494 0.22639
2086 111 7 6 6 2905.02 4.91173
4340 111 7 6 6 171.065 4.4429
16 111 7 6 6 0.589334 4.72806
2231 111 7 6 6 121.299 0.272524
