Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
8962 124 4 4 5 10 8.7679e+06 1.30476
9087 124 4 4 5 10 5.92722e+07 1.934
5828 124 4 4 5 10 711746 1.30201
6551 124 4 4 5 10 4494.6 8.62638
3958 124 4 4 5 10 8.07105e+08 1.31184
6473 124 4 4 5 10 151945 1.29334
5744 124 4 4 5 10 59177.2 1.9451
8662 124 4 4 5 10 39937.3 1.33334
5427 124 4 4 5 10 108001 2.00133
323 124 4 4 5 10 184418 1.9377
168 124 4 4 5 10 117646 1.29171
7354 124 4 4 5 10 946372 1.3093
6846 124 4 4 5 10 5790.46 7.91555
2487 124 4 4 5 10 1.83811e+06 1.29554
6041 124 4 4 5 10 20968.5 1.37726
447 124 4 4 5 10 35919 1.29748
4460 124 4 4 5 10 13165.3 2.0127
6080 124 4 4 5 10 39482.3 1.2874
7923 124 4 4 5 10 3.05647e+07 1.29937
1903 124 4 4 5 10 199437 1.3088
3639 124 4 4 5 10 1630.73 7.87613
9582 124 4 4 5 10 109724 1.91663
604 124 4 4 5 10 40366.7 2.00564
5072 124 4 4 5 10 5.50969e+06 2.01965
4771 124 4 4 5 10 956084 1.37872
3288 124 4 4 5 10 38598.7 1.31477
8763 124 4 4 5 10 3.04385e+06 1.30022
5584 124 4 4 5 10 14875.3 2.04658
9357 124 4 4 5 10 586585 1.31208
3894 124 4 4 5 10 10115.5 1.38
2334 124 4 4 5 10 30026.8 1.36136
5655 124 4 4 5 10 122659 1.31462
6883 124 4 4 5 10 1.03718e+06 1.3135
597 124 4 4 5 10 460553 1.3039
7571 124 4 4 5 10 10790.5 1.29638
1313 124 4 4 5 10 62037 1.32344
3949 124 4 4 5 10 11414 491.873
828 124 4 4 5 10 7.93662e+06 1.27986
8308 124 4 4 5 10 606896 1.32715
320 124 4 4 5 10 131469 1.31692
6389 124 4 4 5 10 5482.56 1.28739
1322 124 4 4 5 10 334642 1.30854
2070 124 4 4 5 10 3733.29 3.46415
1371 124 4 4 5 10 254228 1.924
7391 124 4 4 5 10 722181 1.30499
2447 124 4 4 5 10 16185.4 1.30451
6975 124 4 4 5 10 1636.67 1.40582
8509 124 4 4 5 10 48570.8 1.32768
6861 124 4 4 5 10 239792 1.28476
6841 124 4 4 5 10 4.03005e+06 1.30018
8944 124 4 4 5 10 29739.8 1.97784
