Seed  np arch1 arch2 arch3 chi2/dat duration
1953 153 5 9 8 4.54366e+06 1.33753
6073 153 5 9 8 5520.38 1.40683
9997 153 5 9 8 5369.28 211.776
803 153 5 9 8 1.58402e+06 1.3555
40 153 5 9 8 71.789 504.178
4466 153 5 9 8 1.68169e+06 1.97412
8917 153 5 9 8 517704 2.07295
3716 153 5 9 8 0.946563 620.772
4122 153 5 9 8 187364 2.06926
4166 153 5 9 8 437150 1.34576
5011 153 5 9 8 935923 1.34947
6886 153 5 9 8 6.92001e+08 1.32067
6769 153 5 9 8 28191.3 2.05057
9858 153 5 9 8 239679 18.8547
5842 153 5 9 8 0.965625 547.429
8608 153 5 9 8 102446 2.11176
3242 153 5 9 8 732914 2.03204
241 153 5 9 8 25388.9 12.8642
3312 153 5 9 8 623499 2.06024
4155 153 5 9 8 6405.34 2.13368
4092 153 5 9 8 326835 2.69773
3684 153 5 9 8 171814 2.02814
4536 153 5 9 8 7664.81 1.34305
9279 153 5 9 8 276509 2.00766
9258 153 5 9 8 2.24884e+06 2.05018
2193 153 5 9 8 2.85304e+07 1.35689
1237 153 5 9 8 30434.4 12.1265
2103 153 5 9 8 2.06454e+07 1.98106
6962 153 5 9 8 4.59269e+06 370.903
7240 153 5 9 8 262597 1.36956
5817 153 5 9 8 445400 1.32956
9199 153 5 9 8 97394.3 1.33514
6238 153 5 9 8 45938.4 202.963
7891 153 5 9 8 575555 176.752
2037 153 5 9 8 213896 1.34186
3128 153 5 9 8 2.63499e+06 2.00347
2821 153 5 9 8 113804 2.052
1612 153 5 9 8 2.67789e+06 1.35197
6454 153 5 9 8 13508.3 2.15092
127 153 5 9 8 3.20854e+06 1.34872
1158 153 5 9 8 347755 29.584
2565 153 5 9 8 42632 164.642
7367 153 5 9 8 2.47487e+06 1.31707
2468 153 5 9 8 8305 1.37999
8483 153 5 9 8 481290 1.97338
2048 153 5 9 8 15682.6 1.33784
3662 153 5 9 8 77172.9 263.942
547 153 5 9 8 359289 186.146
666 153 5 9 8 1.7582e+07 1.34667
7661 153 5 9 8 4.55587e+06 1.38385
5541 153 5 9 8 276857 2.07723
