Seed  np arch1 arch2 arch3 chi2/dat duration
9492 71 5 4 6 351181 0.889666
2362 71 5 4 6 426984 0.606044
5936 71 5 4 6 1291.61 0.908507
7103 71 5 4 6 52925 0.60739
4442 71 5 4 6 355397 0.613915
6953 71 5 4 6 449519 4.0414
3141 71 5 4 6 259671 0.891225
757 71 5 4 6 168626 0.603294
9623 71 5 4 6 0.992376 278.67
8394 71 5 4 6 128733 0.921952
1353 71 5 4 6 1.09343e+07 0.916179
1895 71 5 4 6 228.308 212.706
393 71 5 4 6 99158.1 1.00462
8583 71 5 4 6 350.106 243.43
5569 71 5 4 6 2.48304e+06 24.2403
6688 71 5 4 6 69000.2 0.609588
9718 71 5 4 6 31502 0.957029
544 71 5 4 6 85972.4 0.993615
2327 71 5 4 6 93464.2 0.901327
2207 71 5 4 6 2198.98 0.609788
190 71 5 4 6 72445.4 45.4447
6382 71 5 4 6 3440.35 64.1735
928 71 5 4 6 456562 5.83309
4831 71 5 4 6 5.77211e+06 0.895442
7831 71 5 4 6 512.629 238.565
3630 71 5 4 6 102115 0.608362
5820 71 5 4 6 139467 0.889639
5304 71 5 4 6 372770 20.599
9117 71 5 4 6 174756 0.969465
1217 71 5 4 6 1.1654e+06 0.611622
4063 71 5 4 6 459287 0.95963
9136 71 5 4 6 92.0266 220.077
8227 71 5 4 6 71561.3 0.60278
354 71 5 4 6 5.84557 267.214
79 71 5 4 6 17402.7 17.2138
6016 71 5 4 6 786571 0.605054
8391 71 5 4 6 0.961117 284.055
6203 71 5 4 6 16691.9 0.961477
1996 71 5 4 6 244.291 249.582
531 71 5 4 6 4.49189e+06 248.327
3556 71 5 4 6 128328 0.890467
9199 71 5 4 6 201193 0.607518
796 71 5 4 6 86038.3 3.80387
4604 71 5 4 6 64441.3 0.611046
5833 71 5 4 6 161094 0.888751
9945 71 5 4 6 46590.7 0.611886
9767 71 5 4 6 749253 0.606671
1268 71 5 4 6 89753.9 0.923308
8599 71 5 4 6 1.28297e+07 0.902916
5684 71 5 4 6 323365 0.613491
1471 71 5 4 6 1.74544e+06 0.604647
