Seed  np arch1 arch2 arch3 chi2/dat duration
3727 90 7 5 5 9215.53 1.64467
9157 90 7 5 5 759930 0.767816
5727 90 7 5 5 2162.22 1.24605
5312 90 7 5 5 1.70813e+06 1.14963
6401 90 7 5 5 21745.4 0.783948
2072 90 7 5 5 112222 1.25041
5665 90 7 5 5 985046 26.2955
6239 90 7 5 5 2.05273e+06 1.14784
1461 90 7 5 5 18228.7 1.14064
7417 90 7 5 5 261356 137.518
2605 90 7 5 5 138655 0.76726
9439 90 7 5 5 46278.8 66.3239
8356 90 7 5 5 90212 0.775503
8779 90 7 5 5 159.241 351.163
6648 90 7 5 5 75023.8 0.777638
2335 90 7 5 5 5.32392e+06 244.494
9297 90 7 5 5 2.84011e+06 1.16228
3318 90 7 5 5 4148.94 1.31283
1880 90 7 5 5 723848 0.779159
9044 90 7 5 5 51618.7 0.783654
9206 90 7 5 5 158280 0.801505
4554 90 7 5 5 101339 0.778443
3878 90 7 5 5 6.76621e+06 1.13928
2425 90 7 5 5 19913.4 0.805801
9034 90 7 5 5 5.07898e+07 0.776384
9984 90 7 5 5 65202.9 0.798309
9262 90 7 5 5 561142 0.79471
6790 90 7 5 5 1.26792e+09 1.15377
1371 90 7 5 5 452328 1.13665
5160 90 7 5 5 86178.2 0.798422
2803 90 7 5 5 2.91635e+06 0.761574
1865 90 7 5 5 1.11159e+06 0.777542
116 90 7 5 5 158221 1.1992
4405 90 7 5 5 345914 0.76088
8645 90 7 5 5 291788 0.815089
9502 90 7 5 5 17112.4 1.27514
3862 90 7 5 5 87373.9 1.19216
1129 90 7 5 5 22845.3 309.989
1458 90 7 5 5 125710 0.778951
2275 90 7 5 5 3.02295e+06 0.770636
9055 90 7 5 5 246360 0.770101
3301 90 7 5 5 144720 0.783021
956 90 7 5 5 71001 0.761306
8735 90 7 5 5 114.38 356.85
595 90 7 5 5 0.942422 322.797
862 90 7 5 5 4.28089e+07 0.762071
73 90 7 5 5 1.59063e+06 1.20768
4914 90 7 5 5 1874.4 286.438
2762 90 7 5 5 13390.6 1.1386
9583 90 7 5 5 86950.1 0.780949
4786 90 7 5 5 14582.2 0.821417
