Seed  np arch1 arch2 arch3 chi2/dat duration
7126 143 9 6 8 271955 1.87355
5677 143 9 6 8 147980 19.9215
6147 143 9 6 8 6495.3 6.97237
4749 143 9 6 8 2.56305e+07 1.24679
7422 143 9 6 8 2085.49 255.798
4421 143 9 6 8 1.43564e+06 1.24133
1567 143 9 6 8 111714 1.2466
5146 143 9 6 8 179676 1.22193
6016 143 9 6 8 713522 1.22839
1859 143 9 6 8 8.41608e+06 1.25317
8930 143 9 6 8 56641.2 1.96462
9026 143 9 6 8 1.23553e+06 1.31558
5346 143 9 6 8 24475.3 36.2361
5958 143 9 6 8 779739 1.24472
3364 143 9 6 8 144173 1.24783
8728 143 9 6 8 231017 1.25818
3597 143 9 6 8 8186.01 2.00934
8342 143 9 6 8 1024.62 591.545
9698 143 9 6 8 799133 2.60245
4750 143 9 6 8 12936 177.484
2711 143 9 6 8 266919 444.43
517 143 9 6 8 185162 1.24746
4393 143 9 6 8 8.64259e+06 2.29092
591 143 9 6 8 1046.99 1.94347
643 143 9 6 8 1.40272e+06 1.85194
1884 143 9 6 8 22694.2 1.26149
2412 143 9 6 8 3.66842e+08 1.83365
4593 143 9 6 8 130724 1.28576
3864 143 9 6 8 673249 1.23809
9774 143 9 6 8 142709 271.997
5857 143 9 6 8 325971 1.83729
2226 143 9 6 8 1.91413e+08 5.03601
2445 143 9 6 8 144589 1.89792
5626 143 9 6 8 2.40462e+07 2.03151
7356 143 9 6 8 0.919861 531.215
996 143 9 6 8 2.50674e+07 1.83371
3293 143 9 6 8 673878 1.25575
1477 143 9 6 8 141773 1.22472
4092 143 9 6 8 495112 1.96717
2451 143 9 6 8 1.77798e+06 1.22445
4018 143 9 6 8 1.84393e+06 1.24808
962 143 9 6 8 67558.9 1.23699
7347 143 9 6 8 0.893775 542.839
5694 143 9 6 8 278972 1.91607
1109 143 9 6 8 2.05986e+06 1.83637
1584 143 9 6 8 236.491 438.441
3983 143 9 6 8 943.236 432.432
6452 143 9 6 8 7.94497e+06 1.25119
6544 143 9 6 8 1.0236e+08 1.83326
48 143 9 6 8 759757 1.29176
7188 143 9 6 8 168628 1.24341
