Seed  np arch1 arch2 arch3 chi2/dat duration
5366 87 4 6 6 2.12479e+06 4.22971
5556 87 4 6 6 1.20864e+06 1.08815
8669 87 4 6 6 13796 19.112
2522 87 4 6 6 2.17288e+07 1.12681
9755 87 4 6 6 9295.5 332.841
3244 87 4 6 6 1.42392e+06 1.50054
6634 87 4 6 6 45673.7 1.10778
556 87 4 6 6 3.38332e+06 1.09419
7001 87 4 6 6 1.59823e+06 29.8174
4318 87 4 6 6 478611 1.09122
4720 87 4 6 6 1.777e+06 1.08891
3081 87 4 6 6 852090 0.74069
9368 87 4 6 6 10780.5 70.7552
5162 87 4 6 6 7034.24 168.112
5940 87 4 6 6 3.90319e+06 35.9511
6622 87 4 6 6 417618 1.20317
7315 87 4 6 6 1230.05 5.95656
8928 87 4 6 6 36673.6 1.11298
2526 87 4 6 6 744.645 326.065
3851 87 4 6 6 229507 1.10119
2595 87 4 6 6 42568.1 0.749206
9676 87 4 6 6 107200 0.743932
9046 87 4 6 6 75983.3 1.19478
5360 87 4 6 6 96540.4 6.79905
2733 87 4 6 6 1.17778e+09 1.1843
2216 87 4 6 6 3.18174e+06 1.11292
5145 87 4 6 6 558108 1.10217
3646 87 4 6 6 3.60845e+06 0.739398
8964 87 4 6 6 25152.3 1.11002
2119 87 4 6 6 18925.6 0.747946
5093 87 4 6 6 1.14076e+06 4.15103
1281 87 4 6 6 159003 1.10815
5015 87 4 6 6 8.07081e+06 1.10107
1591 87 4 6 6 45236.1 1.13356
7151 87 4 6 6 1.73798e+06 0.760471
503 87 4 6 6 9880.04 85.549
1919 87 4 6 6 448.638 243.814
860 87 4 6 6 734.78 10.1243
651 87 4 6 6 126362 24.44
4739 87 4 6 6 804192 1.12347
8389 87 4 6 6 160393 1.16676
388 87 4 6 6 1793.15 1.20051
1495 87 4 6 6 2.80803e+07 11.9252
9597 87 4 6 6 10963.8 0.734488
4829 87 4 6 6 128605 1.14095
1238 87 4 6 6 4.12981e+06 1.12361
3925 87 4 6 6 1143.67 299.973
302 87 4 6 6 93117.8 1.21513
1251 87 4 6 6 78630.3 16.8091
5152 87 4 6 6 3.38686e+06 0.738231
5311 87 4 6 6 141757 16.0617
