Seed  np arch1 arch2 arch3 chi2/dat duration
2618 132 9 5 9 454176 1.11771
4226 132 9 5 9 1.30526e+06 1.82799
8684 132 9 5 9 721335 1.13911
1293 132 9 5 9 103.442 456.912
6346 132 9 5 9 1.2093e+07 1.6768
512 132 9 5 9 51951.6 1.84721
4058 132 9 5 9 128765 1.13483
9131 132 9 5 9 1.93357e+06 2.29351
1425 132 9 5 9 3.15111e+06 1.13853
4964 132 9 5 9 91476.9 1.71711
5612 132 9 5 9 151787 1.67525
1263 132 9 5 9 823330 1.71686
968 132 9 5 9 44.5233 518.386
9518 132 9 5 9 12965.3 1.69681
9707 132 9 5 9 97160.9 1.1619
3040 132 9 5 9 2.2532e+06 1.14281
1127 132 9 5 9 109.458 443.688
4444 132 9 5 9 3.26e+07 1.14133
7154 132 9 5 9 54571.6 1.14055
5151 132 9 5 9 673589 1.11922
9089 132 9 5 9 991486 1.13927
9360 132 9 5 9 63561.6 57.9616
9156 132 9 5 9 35985.7 1.82395
7056 132 9 5 9 0.954668 504.395
2184 132 9 5 9 163608 1.8181
5935 132 9 5 9 0.942736 484.803
7660 132 9 5 9 16747.1 1.14225
1598 132 9 5 9 73868.1 102.587
7777 132 9 5 9 79201.5 1.84168
997 132 9 5 9 1.55769e+06 1.14919
2966 132 9 5 9 0.9339 399.788
545 132 9 5 9 4.29398e+06 1.15243
1366 132 9 5 9 0.963257 360.437
1249 132 9 5 9 2.16306e+08 1.1504
6005 132 9 5 9 77.8009 394.415
151 132 9 5 9 5.36449e+07 1.83492
2285 132 9 5 9 24229.1 1.68354
673 132 9 5 9 21085 1.77847
9847 132 9 5 9 23263.8 1.71385
9697 132 9 5 9 2583.92 245.753
3437 132 9 5 9 2091.49 65.5449
8636 132 9 5 9 4.49998e+07 1.67832
549 132 9 5 9 569258 1.71386
8373 132 9 5 9 3.74752e+06 1.13842
6331 132 9 5 9 422076 1.12381
3728 132 9 5 9 5.72694e+06 1.68188
2702 132 9 5 9 107114 1.15829
1929 132 9 5 9 17085.4 1.76045
3907 132 9 5 9 26032.5 4.71523
9313 132 9 5 9 314721 1.70249
6190 132 9 5 9 1.98375e+06 38.47
