#q2 x cv sd
3.5 0.197242 0.253226 0.0173203
3.5 0.204174 0.25018 0.0148647
3.5 0.211349 0.246908 0.015659
3.5 0.218776 0.243408 0.0153515
3.5 0.226464 0.239689 0.0146724
3.5 0.234423 0.235731 0.015349
3.5 0.242661 0.231525 0.0160165
3.5 0.251189 0.227058 0.0139583
3.5 0.260016 0.222357 0.0117582
3.5 0.269153 0.217475 0.0143673
3.5 0.278612 0.212412 0.012745
3.5 0.288403 0.207139 0.0115172
3.5 0.298538 0.201601 0.0104636
3.5 0.30903 0.195804 0.0135144
3.5 0.31989 0.189768 0.00957032
3.5 0.331131 0.183512 0.00987223
3.5 0.342768 0.177046 0.0102271
3.5 0.354813 0.170373 0.0105336
3.5 0.367282 0.163504 0.00985235
3.5 0.380189 0.156454 0.00922788
3.5 0.39355 0.149245 0.00834275
3.5 0.40738 0.141902 0.00912762
3.5 0.421697 0.134425 0.00798308
3.5 0.436516 0.126836 0.00716944
3.5 0.451856 0.119162 0.00606256
3.5 0.467735 0.111421 0.00770221
3.5 0.484172 0.103657 0.00624598
3.5 0.501187 0.0959 0.00572087
3.5 0.5188 0.0882073 0.00455421
3.5 0.537032 0.0805935 0.00412714
3.5 0.555904 0.0731262 0.00432999
3.5 0.57544 0.065833 0.00367451
3.5 0.595662 0.0587598 0.00408388
3.5 0.616595 0.0520229 0.00329564
3.5 0.638263 0.0456891 0.00271549
3.5 0.660693 0.0397798 0.00270977
3.5 0.683912 0.0343167 0.0023037
3.5 0.707946 0.0293015 0.00185251
3.5 0.732825 0.0247436 0.00170828
3.5 0.758578 0.0206559 0.00119623
3.5 0.785236 0.0170218 0.000918744
3.5 0.812831 0.0139031 0.000836649
3.5 0.841395 0.0112622 0.000765203
3.5 0.870964 0.00901744 0.000616185
3.5 0.901571 0.00712495 0.00042036
3.5 0.933254 0.00555191 0.000312342
3.5 0.966051 0.00425424 0.000222157
22.5211 0.001 1.12386 0.0686427
22.521 0.00103514 1.11386 0.0726813
22.521 0.00107152 1.10391 0.0615689
22.521 0.00110917 1.09403 0.0624961
22.521 0.00114815 1.08421 0.0708016
22.5211 0.0011885 1.07445 0.0733086
22.521 0.00123027 1.06475 0.0539355
22.5211 0.0012735 1.05512 0.0650826
22.521 0.00131826 1.04553 0.0712082
22.521 0.00136458 1.03601 0.054688
22.521 0.00141254 1.02656 0.0695917
22.521 0.00146218 1.01718 0.0546659
22.521 0.00151356 1.00786 0.0674052
22.521 0.00156675 0.998614 0.0694911
22.521 0.00162181 0.989428 0.0683954
22.5211 0.0016788 0.98032 0.0539348
22.5211 0.0017378 0.971282 0.0544402
22.521 0.00179887 0.962296 0.0586941
22.521 0.00186209 0.95336 0.0620999
22.521 0.00192752 0.944479 0.0499425
22.521 0.00199526 0.93565 0.0508916
22.521 0.00206538 0.926876 0.0607251
22.521 0.00213796 0.918156 0.0609906
22.521 0.00221309 0.909469 0.0554163
22.521 0.00229087 0.90085 0.0552774
22.521 0.00237137 0.892299 0.0509445
22.521 0.00245471 0.883814 0.0461102
22.521 0.00254097 0.875396 0.0472401
22.521 0.00263027 0.867042 0.0580567
22.5211 0.0027227 0.858753 0.0429421
22.521 0.00281838 0.85054 0.0519634
22.521 0.00291743 0.842388 0.0524252
22.521 0.00301995 0.834292 0.0540549
22.521 0.00312608 0.82625 0.054025
22.521 0.00323594 0.818263 0.054462
22.521 0.00334965 0.810333 0.0450153
22.521 0.00346737 0.802459 0.05506
22.521 0.00358922 0.794637 0.0419575
22.521 0.00371535 0.786867 0.0461876
22.521 0.00384592 0.779158 0.0469004
22.521 0.00398107 0.771512 0.04009
22.521 0.00412098 0.763925 0.0483223
22.5211 0.0042658 0.7564 0.0379772
22.5211 0.0044157 0.748935 0.0478141
22.521 0.00457088 0.741529 0.0468319
22.521 0.00473151 0.734189 0.0373933
22.521 0.00489779 0.726904 0.0443611
22.521 0.00506991 0.719675 0.0427284
22.521 0.00524807 0.712503 0.0488425
22.5211 0.0054325 0.705387 0.0456585
22.521 0.00562341 0.698326 0.0351394
22.521 0.00582103 0.691322 0.0481184
22.5211 0.0060256 0.684373 0.0420919
22.521 0.00623735 0.677481 0.0386717
22.521 0.00645654 0.670645 0.0348445
22.521 0.00668344 0.663865 0.0422825
22.521 0.00691831 0.657141 0.0344021
22.521 0.00716143 0.650474 0.0407204
22.5211 0.0074131 0.643863 0.0360209
22.521 0.00767361 0.637313 0.0338467
22.521 0.00794328 0.63082 0.0337105
22.521 0.00822243 0.624379 0.0327357
22.521 0.00851138 0.617991 0.0344358
22.521 0.00881049 0.611657 0.0391992
22.521 0.00912011 0.605377 0.032273
22.521 0.00944061 0.599151 0.0331529
22.521 0.00977237 0.592971 0.0300403
22.5211 0.0101158 0.586842 0.0367988
22.5211 0.0104713 0.580777 0.030565
22.5211 0.0108393 0.574775 0.0372771
22.5211 0.0112202 0.568835 0.0359382
22.5211 0.0116145 0.562956 0.0333327
22.5211 0.0120226 0.557138 0.0333778
22.5211 0.0124451 0.551384 0.0366692
22.5211 0.0128825 0.54569 0.0307745
22.5211 0.0133352 0.54005 0.0299986
22.5211 0.0138038 0.534464 0.031009
22.5211 0.0142889 0.52893 0.0308807
22.5211 0.0147911 0.523449 0.0324208
22.5211 0.0153109 0.518022 0.0298487
22.5211 0.0158489 0.51264 0.0320615
22.5211 0.0164059 0.50731 0.0327471
22.5211 0.0169824 0.502039 0.0346129
22.5211 0.0175792 0.496826 0.0335984
22.5211 0.018197 0.491669 0.0254829
22.5211 0.0188365 0.486568 0.0266728
22.5211 0.0194984 0.481522 0.0249001
22.5211 0.0201837 0.476543 0.0246107
22.5211 0.020893 0.471613 0.0281034
22.5211 0.0216272 0.466726 0.0279219
22.5211 0.0223872 0.461882 0.0307735
22.5211 0.0231739 0.457084 0.0255268
22.5211 0.0239883 0.452329 0.0310435
22.5211 0.0248313 0.447618 0.0290453
22.5211 0.025704 0.442947 0.0268885
22.5211 0.0266073 0.438326 0.0284891
22.5211 0.0275423 0.433753 0.0263627
22.5211 0.0285102 0.429229 0.0281805
22.5211 0.0295121 0.424753 0.0253765
22.5211 0.0305492 0.420324 0.0289302
22.5211 0.0316228 0.415952 0.0219421
22.5211 0.0327341 0.411625 0.0214189
22.5211 0.0338844 0.407339 0.0220146
22.5211 0.0350752 0.403096 0.021791
22.5211 0.0363078 0.398897 0.0246623
22.5211 0.0375837 0.394743 0.0200992
22.5211 0.0389045 0.390635 0.0216956
22.5211 0.0402717 0.386574 0.0210945
22.5211 0.0416869 0.382559 0.0251742
22.5211 0.0431519 0.37859 0.019638
22.5211 0.0446684 0.374669 0.0236449
22.5211 0.0462381 0.370798 0.0209319
22.5211 0.047863 0.366972 0.020914
22.5211 0.049545 0.363199 0.0211406
22.5211 0.0512861 0.359481 0.0189414
22.5211 0.0530884 0.355819 0.0230417
22.5211 0.0549541 0.352214 0.018028
22.5211 0.0568853 0.348665 0.0176211
22.5211 0.0588844 0.345155 0.0219907
22.5211 0.0609537 0.341712 0.0190341
22.5211 0.0630957 0.338337 0.0212192
22.5211 0.0653131 0.335026 0.019857
22.5211 0.0676083 0.331778 0.01835
22.5211 0.0699842 0.328583 0.022086
22.5211 0.0724436 0.325443 0.020699
22.5211 0.0749894 0.322366 0.0205586
22.5211 0.0776247 0.319346 0.0197329
22.5211 0.0803526 0.316379 0.0183745
22.5211 0.0831764 0.31345 0.0192351
22.5211 0.0860994 0.310558 0.0213253
22.5211 0.0891251 0.307719 0.0169612
22.5211 0.0922571 0.304924 0.0180874
22.5211 0.0954993 0.302165 0.0183625
22.5211 0.0988553 0.299423 0.0151731
22.5211 0.102329 0.296698 0.0200656
22.5211 0.105925 0.293992 0.0201555
22.5211 0.109648 0.291293 0.0195444
22.5211 0.113501 0.288589 0.0149428
22.5211 0.11749 0.285874 0.0176607
22.5211 0.121619 0.283124 0.0187022
22.5211 0.125893 0.280329 0.0153117
22.5211 0.130317 0.277478 0.0138855
22.5211 0.134896 0.274568 0.0165771
22.5211 0.139637 0.271577 0.0142524
22.5211 0.144544 0.268491 0.0175357
22.5211 0.149624 0.265302 0.013864
22.5211 0.154882 0.262004 0.0156971
22.5211 0.160325 0.258588 0.015444
22.5211 0.165959 0.255045 0.0171802
22.5211 0.171791 0.251368 0.0169812
22.5211 0.177828 0.247567 0.0126877
22.5211 0.184077 0.243607 0.0132042
22.5211 0.190546 0.239479 0.0156415
