Seed  np arch1 chi2/dat duration
1723 94 31 3.51058 2.83916
5414 94 31 6.72965 3.0945
7907 94 31 0.704978 3.02747
5558 94 31 115.462 2.91875
6960 94 31 17.7462 3.02522
7498 94 31 0.670875 3.00401
1571 94 31 4.24291 2.95663
7093 94 31 0.602084 2.75591
8288 94 31 0.431621 3.11008
5375 94 31 0.34175 3.12485
3024 94 31 3.20452 2.76052
1573 94 31 10.6384 2.93721
3978 94 31 4.89106 2.76375
1830 94 31 6.52729 3.10497
7290 94 31 9.06079 2.96244
9329 94 31 8.18216 3.02352
154 94 31 1.62599 2.92532
7549 94 31 141.209 2.85594
8750 94 31 5.95759 2.91353
8614 94 31 0.681194 2.91296
9312 94 31 36.1323 3.28374
1809 94 31 3.66804 2.84953
7979 94 31 0.606653 2.85188
8307 94 31 9.11269 3.15291
79 94 31 0.805958 2.87703
6775 94 31 5.03433 2.75295
1462 94 31 5.30458 3.05959
4818 94 31 1.57805 2.87818
1294 94 31 9.01405 2.87324
4926 94 31 2.15132 2.81459
4636 94 31 0.623612 3.08683
6232 94 31 0.550123 3.00687
4677 94 31 2.80666 2.80399
7602 94 31 0.786887 2.77282
3566 94 31 0.522989 3.02055
5188 94 31 15.5546 2.82303
9501 94 31 6.95946 2.9376
4503 94 31 1.67077 3.18059
658 94 31 9.05844 3.06272
5511 94 31 35.3927 3.21136
5964 94 31 0.764711 3.02846
609 94 31 0.719925 3.08743
3242 94 31 0.648306 2.91148
5841 94 31 0.533566 2.84733
313 94 31 2.15575 2.95734
8625 94 31 107.022 2.84002
7974 94 31 0.764394 2.79131
8787 94 31 0.675458 3.02748
7510 94 31 12.8902 2.79291
2654 94 31 1.30147 2.87025
449 94 31 0.570095 3.12921
