Seed  np arch1 chi2/dat duration
9433 55 18 7.58613 2.33354
6938 55 18 3.53612 2.24318
1677 55 18 0.882846 2.44283
1972 55 18 4.48702 2.30843
4196 55 18 0.846616 2.54715
5272 55 18 83.628 2.6722
8233 55 18 0.549468 2.64209
1392 55 18 0.665258 2.46114
2101 55 18 8.32729 2.19247
2253 55 18 0.707157 2.32601
693 55 18 1.13675 2.21133
4385 55 18 0.573643 2.66887
3603 55 18 1.31205 2.27274
8649 55 18 13.4928 2.35716
5714 55 18 5.07259 2.23292
3156 55 18 2.50724 2.53275
2525 55 18 1.11809 2.64013
2827 55 18 4.00232 2.37654
7773 55 18 0.625578 2.20916
2560 55 18 6.00194 2.38609
2408 55 18 4.75833 2.22185
8080 55 18 47.8958 2.53292
7761 55 18 0.657295 2.58998
3922 55 18 0.748378 2.36938
7981 55 18 0.715822 2.32394
7594 55 18 1.75328 2.17601
5275 55 18 7.0398 2.23587
6703 55 18 1.41345 2.58469
3725 55 18 3.67672 2.25778
5528 55 18 158.015 2.45693
7326 55 18 0.537803 2.39892
778 55 18 10.711 2.69909
5593 55 18 0.637849 2.55594
1206 55 18 48.4871 2.35812
1835 55 18 1.56875 2.23486
7055 55 18 0.783646 2.31466
4220 55 18 1.93844 2.35398
3325 55 18 0.55835 2.55238
1826 55 18 0.600645 2.5155
4180 55 18 1.49597 2.60783
9630 55 18 5.27983 2.24278
2694 55 18 6.45828 2.31318
5473 55 18 0.672033 2.45171
5311 55 18 3.94196 2.2699
5606 55 18 2.93805 2.44428
2783 55 18 0.559161 2.39476
7043 55 18 1.59632 2.26108
1593 55 18 0.644199 2.63065
8909 55 18 16.167 2.31008
3704 55 18 1.19682 2.31377
3372 55 18 1.57914 2.25601
