Seed  np arch1 chi2/dat duration
1231 97 32 106.81 3.41934
2168 97 32 0.918898 3.02115
5935 97 32 0.585114 3.27316
4431 97 32 0.612966 3.33174
4233 97 32 10.5632 3.17503
6299 97 32 1.08177 3.30385
919 97 32 0.559579 3.23033
2293 97 32 17.225 3.01443
170 97 32 4.02999 3.51505
6653 97 32 0.577466 3.4017
7811 97 32 8.04327 3.33356
4939 97 32 2.94134 3.02248
362 97 32 0.578405 3.31857
6711 97 32 7.07476 3.00004
3497 97 32 0.751806 3.43281
987 97 32 5.14493 3.0185
618 97 32 0.487523 3.21426
5762 97 32 1.16022 3.04611
8748 97 32 0.429794 3.1432
7336 97 32 0.893147 3.06027
6084 97 32 1.95753 3.43301
4582 97 32 10.3753 3.12854
5238 97 32 0.532574 3.19178
6405 97 32 1.21037 3.06143
9273 97 32 0.880303 2.99747
4794 97 32 3.15706 3.10629
8556 97 32 3.86996 3.4695
9843 97 32 23.2343 3.35862
3093 97 32 0.612343 3.48864
3992 97 32 0.962971 3.06365
3482 97 32 46.3833 3.13997
252 97 32 2.36432 2.97084
2281 97 32 0.546368 3.08686
1301 97 32 0.440718 3.35299
7384 97 32 0.750591 2.96266
3154 97 32 2.73164 3.36979
141 97 32 1.19362 3.50581
8249 97 32 0.608366 3.11747
4391 97 32 0.61052 3.12443
5506 97 32 3.2672 3.38394
7384 97 32 0.750591 2.96922
7426 97 32 9.73081 3.16192
3433 97 32 0.430372 3.22064
7662 97 32 7.68398 2.97867
9633 97 32 0.898405 3.46988
5803 97 32 4.20935 3.03572
6248 97 32 29.0267 3.44619
8477 97 32 22.8842 3.39788
7841 97 32 0.532758 3.09264
288 97 32 0.510022 3.17127
5656 97 32 5.71297 3.05749
