Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
7963 325 7 10 10 10 5.26181 87.4993
8721 325 7 10 10 10 10086.9 1.40116
9910 325 7 10 10 10 1001.85 82.2136
9043 325 7 10 10 10 9261.54 2.15055
8264 325 7 10 10 10 176.925 87.5519
4910 325 7 10 10 10 2.49486 86.7514
3928 325 7 10 10 10 2018.34 3.1661
6703 325 7 10 10 10 16.2509 92.4313
5688 325 7 10 10 10 9759.38 91.5856
6918 325 7 10 10 10 8727.33 1.56591
105 325 7 10 10 10 7392.65 92.5817
2690 325 7 10 10 10 7664.68 89.4108
5501 325 7 10 10 10 2164.63 93.5091
2454 325 7 10 10 10 159.844 88.8085
982 325 7 10 10 10 323.212 84.8131
8977 325 7 10 10 10 696.14 86.8035
8817 325 7 10 10 10 51752.6 0.7142
2162 325 7 10 10 10 399.475 99.6352
3096 325 7 10 10 10 937.368 89.0058
4518 325 7 10 10 10 541.426 93.7215
1984 325 7 10 10 10 42.6687 91.2492
540 325 7 10 10 10 0.977195 81.8681
1246 325 7 10 10 10 390.712 88.085
9088 325 7 10 10 10 1377.29 3.56096
673 325 7 10 10 10 2464.67 90.7392
4478 325 7 10 10 10 208.473 85.1509
1529 325 7 10 10 10 10.8967 90.9207
9166 325 7 10 10 10 15238.4 1.9922
9479 325 7 10 10 10 58.9354 88.5866
1240 325 7 10 10 10 142.267 88.3935
5370 325 7 10 10 10 32.7493 89.5735
1206 325 7 10 10 10 25.7565 82.7321
6808 325 7 10 10 10 5.25959 87.0388
5661 325 7 10 10 10 849.581 97.9434
1123 325 7 10 10 10 5660.11 0.708952
2135 325 7 10 10 10 0.87969 91.4742
6235 325 7 10 10 10 11.5441 88.4829
5136 325 7 10 10 10 12789.5 1.73545
4985 325 7 10 10 10 1751.86 79.3025
2123 325 7 10 10 10 51.4849 83.783
7807 325 7 10 10 10 0.967205 85.5289
7942 325 7 10 10 10 333.734 98.6454
7897 325 7 10 10 10 0.892165 86.3335
807 325 7 10 10 10 4909.86 93.8097
5853 325 7 10 10 10 3346.41 5.82388
1347 325 7 10 10 10 1.43097 80.6747
1607 325 7 10 10 10 81.9206 89.47
1921 325 7 10 10 10 572.274 87.4292
1770 325 7 10 10 10 712.462 80.6789
1159 325 7 10 10 10 4899.07 2.23923
790 325 7 10 10 10 1.17098 86.9284
