Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
1396 161 5 6 6 9 561.648 50.8751
2120 161 5 6 6 9 1317.14 65.652
5138 161 5 6 6 9 862.004 1.62253
4778 161 5 6 6 9 880.533 56.0967
4396 161 5 6 6 9 3733.99 53.1579
1824 161 5 6 6 9 361.638 58.6178
4139 161 5 6 6 9 550.906 54.7876
2681 161 5 6 6 9 6041.64 59.2499
1815 161 5 6 6 9 2974.82 0.71875
4045 161 5 6 6 9 1977.95 1.52473
9640 161 5 6 6 9 694.608 1.16357
5303 161 5 6 6 9 6962.67 60.7878
850 161 5 6 6 9 98230.8 10.2987
4742 161 5 6 6 9 0.912054 60.9893
7974 161 5 6 6 9 1535.06 58.532
2992 161 5 6 6 9 1280.46 54.1747
1219 161 5 6 6 9 532.681 54.8933
8037 161 5 6 6 9 1.02601 59.5594
2354 161 5 6 6 9 18093.6 2.15233
9756 161 5 6 6 9 7.05345 53.8459
3299 161 5 6 6 9 17022 1.67045
7320 161 5 6 6 9 2813.69 2.4638
1268 161 5 6 6 9 1669.14 1.35442
5862 161 5 6 6 9 710.543 58.194
866 161 5 6 6 9 0.913498 62.3331
561 161 5 6 6 9 17084 1.16665
2186 161 5 6 6 9 1193.73 58.5968
6573 161 5 6 6 9 1025.34 54.4579
8765 161 5 6 6 9 711.946 63.5976
2161 161 5 6 6 9 0.925539 58.6116
9824 161 5 6 6 9 525.088 59.6355
8391 161 5 6 6 9 3979.59 3.0989
2148 161 5 6 6 9 0.945286 64.2074
733 161 5 6 6 9 2551.1 3.57384
8282 161 5 6 6 9 413.069 62.3699
269 161 5 6 6 9 88633.4 2.55229
4275 161 5 6 6 9 500.25 55.0931
6326 161 5 6 6 9 2402.24 69.7186
798 161 5 6 6 9 410.497 60.1264
8590 161 5 6 6 9 250.59 61.7696
2917 161 5 6 6 9 6109.35 1.24546
2941 161 5 6 6 9 264.219 56.9318
7445 161 5 6 6 9 33.7194 57.1382
942 161 5 6 6 9 0.932259 59.3865
8367 161 5 6 6 9 1172.77 1.5708
3973 161 5 6 6 9 2980.74 0.726365
2307 161 5 6 6 9 1467.04 2.78523
4743 161 5 6 6 9 984.975 63.2855
4169 161 5 6 6 9 8246.19 0.491721
4718 161 5 6 6 9 37.831 59.9689
1693 161 5 6 6 9 5142.11 0.674804
