Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
4702 142 4 5 6 9 1219.19 0.375537
6469 142 4 5 6 9 1163.2 51.8691
8961 142 4 5 6 9 0.961693 56.2817
444 142 4 5 6 9 2139.57 2.75103
5618 142 4 5 6 9 61.7842 56.3557
3620 142 4 5 6 9 1468.68 62.1345
3646 142 4 5 6 9 10699.1 61.9374
309 142 4 5 6 9 98.5809 73.6274
8949 142 4 5 6 9 516.551 57.357
9397 142 4 5 6 9 1167.35 1.2072
3418 142 4 5 6 9 1863.78 1.12788
2481 142 4 5 6 9 397.764 53.6878
1937 142 4 5 6 9 8378.29 3.09938
8962 142 4 5 6 9 3190.89 0.330845
24 142 4 5 6 9 108.798 47.9754
8889 142 4 5 6 9 643.134 53.5198
4325 142 4 5 6 9 463.708 56.3613
2819 142 4 5 6 9 7821.66 54.4121
2314 142 4 5 6 9 5500.15 1.34106
2965 142 4 5 6 9 205573 1.61812
2309 142 4 5 6 9 1194 1.94752
9927 142 4 5 6 9 6863.16 55.3528
1162 142 4 5 6 9 5.75361 55.3424
909 142 4 5 6 9 0.937207 58.5383
2902 142 4 5 6 9 667.502 52.6754
6217 142 4 5 6 9 0.953034 58.5227
7017 142 4 5 6 9 3251.26 3.15259
3952 142 4 5 6 9 228.914 57.4351
8274 142 4 5 6 9 1817.54 1.15914
3190 142 4 5 6 9 11380.8 58.179
8197 142 4 5 6 9 562.268 56.8555
7824 142 4 5 6 9 0.954143 54.7819
1078 142 4 5 6 9 1658.81 1.24401
2361 142 4 5 6 9 71842 1.13389
8570 142 4 5 6 9 754.991 2.0514
1245 142 4 5 6 9 768.245 59.8066
7029 142 4 5 6 9 2412.59 3.28331
2532 142 4 5 6 9 5634.85 53.2426
510 142 4 5 6 9 1.11221 55.1343
2822 142 4 5 6 9 343.918 56.6161
5204 142 4 5 6 9 488.064 55.3572
1540 142 4 5 6 9 3405.32 0.460294
8833 142 4 5 6 9 2682.99 0.650924
8843 142 4 5 6 9 651.743 55.7062
9394 142 4 5 6 9 1842.59 54.4403
7672 142 4 5 6 9 2450.26 57.6328
8566 142 4 5 6 9 3057.26 0.727345
3958 142 4 5 6 9 8269.38 0.569399
779 142 4 5 6 9 513.098 59.2394
8882 142 4 5 6 9 1872.9 51.9632
5406 142 4 5 6 9 764.837 0.444799
