Seed  np arch1 arch2 chi2/dat duration
2775 37 8 2 136.47 0.417194
3064 37 8 2 77.4387 78.3359
6457 37 8 2 1086.25 0.41502
2448 37 8 2 494.854 1.08593
9319 37 8 2 152.868 20.1895
104 37 8 2 1317.92 6.10303
713 37 8 2 2.15919 62.8092
5265 37 8 2 25.5792 59.0593
95 37 8 2 276.898 60.631
6563 37 8 2 572.467 2.68212
2796 37 8 2 1088.58 1.76088
543 37 8 2 172.974 0.756126
8424 37 8 2 444.674 0.507057
92 37 8 2 222.041 0.583122
8176 37 8 2 310.114 61.3129
7638 37 8 2 0.786904 66.1338
2234 37 8 2 0.823002 60.5726
2162 37 8 2 819.717 0.499714
7896 37 8 2 969.368 0.415641
2599 37 8 2 0.684787 76.8319
4675 37 8 2 405.687 0.932726
3449 37 8 2 65.737 0.671461
3196 37 8 2 349.773 3.45291
6348 37 8 2 2206.16 0.417774
5976 37 8 2 5874.29 0.418214
4589 37 8 2 30.5416 73.8341
2784 37 8 2 13.401 60.6384
1553 37 8 2 61.3386 0.593432
3339 37 8 2 0.764481 71.5028
5913 37 8 2 92.9961 69.4253
1813 37 8 2 157.182 0.415133
9683 37 8 2 14.1295 64.5433
1839 37 8 2 7604.63 0.499913
5509 37 8 2 413.445 0.590224
3408 37 8 2 351.88 61.0797
737 37 8 2 24.4798 80.6225
2651 37 8 2 10.5228 64.2173
1187 37 8 2 5795.9 0.590031
1874 37 8 2 382.066 0.585309
9568 37 8 2 43.5425 61.4935
6235 37 8 2 170.651 69.2451
7546 37 8 2 59.4516 70.5893
9283 37 8 2 15.0876 79.7821
31 37 8 2 251.364 0.753944
7286 37 8 2 70.8424 0.508816
2234 37 8 2 0.823002 61.7374
9681 37 8 2 187.848 0.685188
9411 37 8 2 21.4198 56.8611
3551 37 8 2 111.707 5.33643
59 37 8 2 64.8531 43.6981
8296 37 8 2 240.241 81.9425
