Seed  np arch1 arch2 chi2/dat duration
6746 67 8 5 36.1546 138.352
1161 67 8 5 0.483983 129.939
6960 67 8 5 411.094 2.94198
3736 67 8 5 94.0854 4.74822
8159 67 8 5 12.5122 107.836
8516 67 8 5 137.754 114.928
8216 67 8 5 63.9434 106.502
1583 67 8 5 100.773 148.753
2885 67 8 5 0.557447 125.475
951 67 8 5 7.47965 117.778
318 67 8 5 0.669057 99.7901
64 67 8 5 1540.13 46.0348
3509 67 8 5 17.435 134.388
7604 67 8 5 74.8373 1.06755
5864 67 8 5 0.708805 120.053
5417 67 8 5 68.1379 112.516
665 67 8 5 48.1885 139.21
5105 67 8 5 224.226 1.23209
7345 67 8 5 16.3522 96.2116
4712 67 8 5 135.094 98.7899
6770 67 8 5 341.169 2.29987
1575 67 8 5 3.38236 116.151
383 67 8 5 130.175 127.365
6293 67 8 5 0.502867 131.764
893 67 8 5 1.1434 203.199
815 67 8 5 34.3597 95.1586
1866 67 8 5 49.3907 2.60241
3630 67 8 5 0.741363 110.229
2997 67 8 5 6.41879 102.297
9679 67 8 5 135.496 130.098
3842 67 8 5 0.736405 140.11
7085 67 8 5 110.041 105.269
9644 67 8 5 0.654292 122.297
4761 67 8 5 433.423 1.85515
8808 67 8 5 8.34065 132.311
1018 67 8 5 0.926486 121.786
268 67 8 5 53.6189 116.311
8045 67 8 5 27.7462 125.592
5808 67 8 5 975.418 2.29254
8755 67 8 5 21.3319 137.434
2840 67 8 5 1.36405 109.413
7997 67 8 5 108.174 111.589
1979 67 8 5 183.652 1.82283
4049 67 8 5 11.0155 110.915
2167 67 8 5 0.538891 107.477
7216 67 8 5 1258.52 143.716
2655 67 8 5 425.992 104.457
7556 67 8 5 149.3 128.421
8392 67 8 5 122.799 3.06288
1941 67 8 5 0.592348 137.877
3421 67 8 5 12.398 119.386
